DATE,FOOD_ITEM,DISC_ID,DISC_AMT,CHECK_NUM,OUTLET,TIME_IN,TIME_OUT,GUEST
20170401,FISH & CHIPS,4,4.53,111651,1000,65230,71232,2
20170401,CALAMARI RINGS,4,2.45,111652,1000,65335,71146,2
20170401,BUFF.BREAKFAST(A),15,5.47,111653,1000,70052,72349,1
20170401,2 FRESH EGGS,15,3.11,111657,1000,75144,83608,1
20170401,F.BREWED COFFEE,15,1.98,111657,1000,75144,83608,1
20170401,BUFF.BREAKFAST(A),90,16.41,111660,1000,84419,100119,2
20170401,BUFF.BREAKFAST(C),15,2.74,111661,1000,91256,101001,1
20170401,BUFF.BREAKFAST(A),15,10.94,111662,1000,91528,93755,2
20170401,BUFF.BREAKFAST(A),15,5.47,111663,1000,94553,94742,1
20170401,OMELETTE,15,3.11,111666,1000,102817,130328,2
20170401,CAPPUCINO,15,2.07,111666,1000,102817,130328,2
20170401,F.BREWED COFFEE,15,1.98,111666,1000,102817,130328,2
20170401,TEH TARIK,15,1.79,111666,1000,102817,130328,2
20170401,TEH TARIK,15,1.79,111666,1000,102817,130328,2
20170401,F.BREWED COFFEE,15,1.98,111666,1000,102817,130328,2
20170401,GREEN TEA,15,1.7,111667,1000,110600,110650,1
20170401,EVIAN,15,1.51,111667,1000,110600,110650,1
20170401,PEPPERMINT TEA,90,2.55,111680,1000,155355,180613,1
20170401,EARL GREY TEA,90,2.55,111680,1000,155355,180613,1
20170401,CARBONARA,85,18.39,111684,1001,182736,184712,1
20170401,N NUMB TONGUE,85,19.81,111687,1001,190111,192941,1
20170401,PATTY MELT,15,3.02,111688,1000,193128,195046,1
20170401,SATAY,15,3.49,111697,1000,222414,231238,2
20170401,SALMON MEDALLIONS,15,5.38,111697,1000,222414,231238,2
20170401,BUTTER FISH,15,4.62,111697,1000,222414,231238,2
20170402,BUFF.BREAKFAST(A),15,10.94,111709,1000,82434,92321,2
20170402,BUFF.BREAKFAST(A),15,5.47,111710,1000,84121,84219,1
20170402,BUFF.BREAKFAST(A),15,5.47,111713,1000,94924,95151,1
20170402,BUFF.BREAKFAST(C),15,2.74,111714,1000,101657,101741,1
20170402,BUFF.HI-TEA(A),90,11.04,111716,1000,122816,142125,8
20170402,BUFF.HI-TEA(A),35,58.87,111717,1000,123037,155125,4
20170402,BUFF.HI-TEA(C),41,5.52,111719,1000,124949,155757,3
20170402,BUFF.HI-TEA(A),41,11.04,111719,1000,124949,155757,3
20170402,BUFF.HI-TEA(A),41,11.04,111719,1000,124949,155757,3
20170402,BUFF.HI-TEA(C),86,14.72,111722,1000,132659,144855,4
20170402,BUFF.HI-TEA(A),86,29.43,111722,1000,132659,144855,4
20170402,BUFF.HI-TEA(A),77,551.85,111724,1000,135208,141556,17
