DATE,FOOD_ITEM,DISC_ID,DISC_AMT,CHECK_NUM,OUTLET,TIME_IN,TIME_OUT,GUEST
20170601,BUFF.BREAKFAST(A),15,10.94,114765,1000,82443,82607,2
20170601,AMERICAN,85,25.0,114766,1001,94245,101454,1
20170601,BUFF.BREAKFAST(A),15,5.47,114768,1000,94644,94821,1
20170601,CHICKEN RICE,85,19.81,114771,1001,120208,124643,1
20170601,FRUIT PLATE,85,10.85,114778,1001,170201,174849,1
20170601,SMORREBROD,85,19.81,114778,1001,170201,174849,1
20170601,SET SALMON ROLL,85,27.83,114779,1001,174417,183223,1
20170601,MONTH CAKE 1KG,43,9.43,114781,1000,182605,182635,1
20170601,SATAY,85,16.51,114785,1001,184745,191242,1
20170601,MULTIGRAIN,3,6.6,114795,1000,192304,192420,1
20170601,TUNA PITA,67,12.73,114815,1000,214826,224701,1
20170602,BUFF.BREAKFAST(A),15,5.47,114825,1000,80558,80939,2
20170602,BUFF.BREAKFAST(A),15,5.47,114825,1000,80558,80939,2
20170602,BUFF.BREAKFAST(A),15,16.41,114826,1000,80609,81002,3
20170602,BUFF.BREAKFAST(A),15,10.94,114828,1000,91738,100001,2
20170602,MONTH CAKE 1KG,68,28.3,114832,1000,124114,124354,1
20170602,CHICKEN RICE,85,19.81,114833,1001,131333,140212,1
20170602,QUESADILLA,85,18.87,114833,1001,131333,140212,1
20170602,MONTH CAKE 1KG,35,9.43,114835,1000,135705,135750,1
20170602,GINGER ALE,85,6.6,114838,1000,173814,181320,1
20170602,LAKSA JOHOR,85,16.04,114838,1000,173814,181320,1
20170602,MONTH CAKE SLC,3,5.66,114868,1000,210210,210306,1
20170602,CAFE LATTE,35,4.15,114871,1002,223429,223625,1
20170603,BUFF.BREAKFAST(A),15,5.47,114883,1000,71803,71929,1
20170603,BUFF.BREAKFAST(A),15,16.41,114884,1000,80109,81643,3
20170603,BUFF.BREAKFAST(A),15,10.94,114885,1000,80116,81716,2
20170603,BUFF.BREAKFAST(A),15,16.41,114886,1000,80224,81700,3
20170603,BUFF.BREAKFAST(A),15,5.47,114887,1000,80305,81141,1
20170603,BUFF.BREAKFAST(A),15,5.47,114890,1000,91745,94245,1
20170603,BUFF.BREAKFAST(A),15,10.94,114891,1000,94711,102815,2
20170603,MONTH CAKE 1KG,68,28.3,114895,1000,141622,141852,1
20170603,CHAR KWAY TEOW,85,16.04,114898,1000,153332,160521,1
20170603,LIPTON TEA,85,8.49,114898,1000,153332,160521,1
20170603,SATAY,85,16.51,114904,1001,175830,183526,1
20170603,FRUIT PLATE,85,10.85,114904,1001,175830,183526,1
20170603,SET NORWEGIAN,85,27.83,114905,1001,183922,191018,1
20170603,SET N/TONGUE,85,27.83,114917,1001,194419,202603,1
20170603,RAMADHAN DIN A,67,68.39,114921,1000,205700,211237,1
20170603,SET N/TONGUE,85,27.83,114923,1001,211309,215652,1
20170603,CHAR KWAY TEOW,85,16.51,114927,1001,212657,221133,1
20170604,TENDERLOIN,4,7.55,114936,1000,71846,72003,1
20170604,BUFF.BREAKFAST(A),15,16.41,114938,1000,80138,80233,4
20170604,BUFF.BREAKFAST(C),15,2.74,114938,1000,80138,80233,4
20170604,BUFF.BREAKFAST(A),15,10.94,114939,1000,81318,81344,2
20170604,BUFF.BREAKFAST(A),15,5.47,114940,1000,82647,82753,1
20170604,N NUMB TONGUE,15,3.77,114943,1000,142622,145446,2
20170604,AMATRICIANA,15,3.58,114943,1000,142622,145446,2
20170604,PUMPKIN SOUP,15,2.36,114944,1000,153806,161212,1
20170604,AL SALMON E,15,3.77,114944,1000,153806,161212,1
20170604,1ST RAMADHAN C,23,94.34,114965,1000,202402,202738,67
20170604,1ST RAMADHAN A,23,443.4,114965,1000,202402,202738,67
20170604,MONTH CAKE 1KG,68,28.3,114968,1000,222420,222519,1
20170605,BUFF.BREAKFAST(A),15,10.94,114972,1000,63438,63644,2
20170605,BUFF.BREAKFAST(A),15,10.94,114974,1000,81333,82324,2
20170605,BUFF.BREAKFAST(A),15,21.89,114975,1000,84925,100507,4
20170605,BUFF.BREAKFAST(A),15,5.47,114976,1000,90104,91507,2
20170605,BUFF.BREAKFAST(C),15,2.74,114976,1000,90104,91507,2
20170605,BUFF.BREAKFAST(A),15,10.94,114977,1000,92014,100521,2
20170605,BUFF.BREAKFAST(A),15,16.41,114978,1000,93146,93313,3
20170605,BUFF.BREAKFAST(A),15,5.47,114979,1000,94047,94100,1
20170605,BUFF.BREAKFAST(A),15,10.94,114981,1000,94423,100749,2
20170605,AMATRICIANA,67,17.92,114986,1000,170133,180310,1
20170605,MONTH CAKE SLC,3,11.32,114987,1000,180045,180059,1
20170605,RAMADHAN DIN C,67,33.96,115000,1000,211949,212114,8
20170605,RAMADHAN DIN A,67,478.77,115000,1000,211949,212114,8
20170605,N NUMB TONGUE,85,19.81,115002,1001,213058,222855,1
20170606,BUFF.BREAKFAST(A),15,16.41,115012,1000,83114,84252,3
20170606,GRILL STEAK,35,9.25,115017,1000,100617,111105,1
20170606,N NUMB TONGUE,97,5.66,115027,1000,131238,135636,2
20170606,AL SALMON E,97,5.66,115027,1000,131238,135636,2
20170606,CHAR KWAY TEOW,85,16.51,115032,1001,133232,135345,1
20170606,CHIC SCHNITZEL,85,18.87,115035,1001,150735,154400,1
20170606,VIETNAMESE PHO,85,18.39,115035,1001,150735,154400,1
20170606,MONTH CAKE SLC,68,6.79,115038,1000,172015,172055,1
20170606,MONTH CAKE SLC,3,11.32,115040,1000,180834,180847,1
20170606,FISH & CHIPS,4,4.53,115042,1000,191743,194541,1
20170606,RAMADHAN DIN A,15,13.68,115048,1000,205557,212148,1
20170607,MEXICANA,4,3.77,115072,1000,62509,80710,5
20170607,WHITE RICE,4,0.75,115073,1000,62610,80544,1
20170607,CAFE LATTE,15,2.07,115074,1000,72100,72539,1
20170607,BUFF.BREAKFAST(A),15,5.47,115075,1000,72828,73001,1
20170607,CAPPUCCINO,15,2.17,115076,1000,73010,73741,1
20170607,BUFF.BREAKFAST(A),85,27.36,115079,1000,75849,100410,1
20170607,BUFF.BREAKFAST(A),15,5.47,115085,1000,91310,91556,1
20170607,BUFF.BREAKFAST(A),15,5.47,115086,1000,91330,91539,1
20170607,BUFF.BREAKFAST(A),90,16.41,115087,1000,92159,92738,2
20170607,BUFF.BREAKFAST(C),15,2.74,115090,1000,95835,105205,2
20170607,BUFF.BREAKFAST(A),15,5.47,115090,1000,95835,105205,2
20170607,2 FRESH EGGS,41,4.67,115091,1000,100454,103541,2
20170607,2 FRESH EGGS,41,4.67,115091,1000,100454,103541,2
20170607,FRESH BREW COFFEE,41,2.97,115091,1000,100454,103541,2
20170607,NASI LEMAK,35,6.42,115092,1000,104046,122252,1
20170607,FRESH ORANGE,15,1.98,115093,1000,104242,104330,1
20170607,CAESER SALAD,35,6.04,115096,1000,141007,160454,1
20170607,CHIC CHOP RICE,35,6.42,115096,1000,141007,160454,1
20170607,NASI LEMAK,35,6.42,115096,1000,141007,160454,1
20170607,CARROT JUICE,35,3.96,115096,1000,141007,160454,1
20170607,MONTH CAKE SLC,3,5.66,115101,1000,191216,191246,1
20170607,MONTH CAKE SLC,3,11.32,115105,1000,193457,193524,1
