DATE,FOOD_ITEM,DISC_ID,DISC_AMT,CHECK_NUM,OUTLET,TIME_IN,TIME_OUT,GUEST
20170301,BUFF.BREAKFAST(A),15,5.47,110033,1000,71450,73347,1
20170301,BUFF.BREAKFAST(A),15,5.47,110037,1000,83616,91224,1
20170301,N NUMB TONGUE,85,19.81,110041,1001,105848,113711,1
20170301,SATAY,85,16.51,110044,1001,122339,131613,1
20170301,MEE MAMAK,85,16.51,110044,1001,122339,131613,1
20170301,FRESH BREW COFFEE,35,3.96,110047,1000,124045,134549,2
20170301,SATAY,35,6.98,110047,1000,124045,134549,2
20170301,N NUMB TONGUE,35,7.55,110047,1000,124045,134549,2
20170301,APPLE JUICE,35,3.96,110047,1000,124045,134549,2
20170301,VIETNAMESE PHO,85,18.39,110052,1001,155540,163554,1
20170301,APPLE PIE,85,9.9,110052,1001,155540,163554,1
20170301,SET STEAK SDWH,85,27.83,110054,1001,163350,171542,1
20170301,SALMON MEDALLIONS,15,5.38,110055,1000,165116,181209,2
20170301,BBQ CHIC SALAD,15,3.02,110055,1000,165116,181209,2
20170301,SODA WATER,15,2.64,110055,1000,165116,181209,2
20170301,APPLE CRUMBLE,15,1.89,110055,1000,165116,181209,2
20170301,BROWNIES,15,1.98,110055,1000,165116,181209,2
20170301,MONTH CAKE 1KG,43,18.87,110057,1000,180344,180833,1
20170301,BBQ CHIC SALAD,15,3.02,110064,1000,202148,211206,1
20170301,N NUMB TONGUE,15,3.77,110064,1000,202148,211206,1
20170301,MULTIGRAIN,68,3.96,110065,1000,210010,210415,1
20170301,FRUTTI DI MARE,85,19.81,110067,1001,210734,214646,1
20170302,TEH TARIK,15,1.79,110081,1000,85231,92554,1
20170302,BUFF.BREAKFAST(C),90,8.21,110083,1000,102341,210754,2
20170302,ICE LEMON TEA,35,3.58,110085,1000,122125,134655,2
20170302,CAFE LATTE,35,4.34,110085,1000,122125,134655,2
20170302,CAESER SALAD,35,6.04,110085,1000,122125,134655,2
20170302,NASI LEMAK,35,7.55,110085,1000,122125,134655,2
20170302,LAKSA JOHOR,15,3.77,110090,1000,130052,133939,1
20170302,CHIC CHOP RICE,15,3.77,110090,1000,130052,133939,1
20170302,GARLIC BAGUETE,1,4.24,110092,1000,131421,135636,1
20170302,PUMPKIN SOUP,1,7.07,110092,1000,131421,135636,1
20170302,MUSHROOM SOUP,15,4.91,110106,1000,171739,181859,2
20170302,APPLE CRUMBLE,15,1.89,110106,1000,171739,181859,2
20170302,BROWNIES,15,1.98,110106,1000,171739,181859,2
20170302,AL TONNO,15,3.58,110110,1000,201848,210247,1
20170302,CALAMARI RINGS,15,2.45,110110,1000,201848,210247,1
20170303,BUFF.BREAKFAST(A),15,10.94,110121,1000,91106,101100,2
20170303,BUFF.BREAKFAST(A),15,10.94,110122,1000,93117,100932,2
20170303,LIPTON TEA,35,3.4,110124,1000,112614,125315,4
20170303,CHAR KWAY TEOW,35,25.66,110124,1000,112614,125315,4
20170303,COKE LIGHT,15,1.32,110126,1000,115233,131649,1
20170303,POTATO CHIPS,15,1.7,110126,1000,115233,131649,1
20170303,CHICKEN PITA,15,2.55,110126,1000,115233,131649,1
20170303,MONTH CAKE 1KG,17,9.43,110128,1000,121629,121926,1
20170303,OPEN PTY-(ICE CREAM),41,1.41,110129,1000,123332,142703,4
20170303,THE PEACH,41,2.69,110129,1000,123332,142703,4
20170303,APPLE CRUMBLE,41,2.83,110129,1000,123332,142703,4
20170303,NASI LEMAK,41,5.66,110129,1000,123332,142703,4
20170303,CHAR KWAY TEOW,41,9.62,110129,1000,123332,142703,4
20170303,PANINI VERDURE,41,4.95,110129,1000,123332,142703,4
20170303,CHICKEN PITA,67,12.73,110159,1000,195119,205542,1
20170303,MONTH CAKE SLC,3,5.66,110170,1000,220605,220616,1
20170304,BUFF.BREAKFAST(A),15,10.94,110176,1000,64141,71529,2
20170304,BUFF.BREAKFAST(A),15,5.47,110177,1000,75501,80159,1
20170304,BUFF.BREAKFAST(A),15,5.47,110179,1000,92359,93837,1
20170304,BUFF.BREAKFAST(A),15,5.47,110180,1000,92412,92708,1
20170304,BUFF.BREAKFAST(A),15,10.94,110181,1000,92543,103559,2
20170304,LIPTON TEA,35,3.4,110182,1002,93822,125824,2
20170304,F.BREWED COFFEE,35,3.96,110182,1002,93822,125824,2
20170304,CHAR KWAY TEOW,35,6.42,110182,1002,93822,125824,2
20170304,LAKSA JOHOR,35,7.55,110182,1002,93822,125824,2
20170304,CAPPUCINO,35,4.34,110182,1002,93822,125824,2
20170304,BUFF.BREAKFAST(A),15,5.47,110183,1000,94118,101922,1
20170304,OMELETTE,15,3.11,110183,1000,94118,101922,1
20170304,BUFF.HI-TEA(A),15,7.36,110189,1000,133624,135842,2
20170304,CAESER SALAD,15,3.02,110189,1000,133624,135842,2
20170304,BUFF.HI-TEA(A),90,33.11,110191,1000,140328,140447,3
20170304,NASI LEMAK,15,3.77,110196,1000,144219,154059,2
20170304,CHAR KWAY TEOW,15,3.21,110196,1000,144219,154059,2
20170304,OPEN PTY-CAKE_1.5,68,42.45,110198,1000,150426,150616,1
20170304,BUFF.HI-TEA(A),41,44.15,110200,1000,151404,151621,4
20170304,BUFF.HI-TEA(A),85,36.79,110201,1000,154410,154553,1
20170304,SESAME BISCUIT,15,1.7,110202,1000,154917,155051,1
20170304,VIETNAMESE PHO,85,18.39,110206,1001,185208,193255,1
20170304,FRESH ORANGE,85,9.9,110206,1001,185208,193255,1
20170304,MUSHROOM SOUP,15,2.45,110207,1000,201604,213425,1
20170304,BEEF SIRLOIN,15,6.79,110207,1000,201604,213425,1
20170304,PETER SHIRAZ(G),22,29.24,110209,1002,205408,205537,1
20170304,FRUIT PLATE,85,10.85,110211,1001,210543,215937,1
20170304,SATAY,85,16.51,110211,1001,210543,215937,1
20170304,VIETNAMESE PHO,85,18.39,110211,1001,210543,215937,1
20170304,WHITE RICE,85,4.24,110211,1001,210543,215937,1
20170304,MONTH CAKE SLC,3,5.66,110213,1000,213518,213527,1
20170304,SODA WATER,35,29.06,110220,1000,235257,235846,117
20170304,GINGER ALE,35,15.85,110220,1000,235257,235846,117
20170304,SPRITE,35,7.92,110220,1000,235257,235846,117
20170305,BUFF.BREAKFAST(C),15,5.47,110227,1000,81243,85734,1
20170305,BUFF.BREAKFAST(A),35,54.72,110228,1000,83108,83945,5
20170305,BUFF.BREAKFAST(A),15,5.47,110230,1000,84449,84524,1
