DATE,FOOD_ITEM,DISC_ID,DISC_AMT,CHECK_NUM,OUTLET,TIME_IN,TIME_OUT,GUEST
20170907,INCHE KABIN,35,14.34,110004,1000,215719,231043,2
20170907,MEE MAMAK,35,6.42,110004,1000,215719,231043,2
20170908,BUFF.BREAKFAST(A),15,5.47,110012,1000,70357,71334,1
20170908,BUFF.BREAKFAST(A),15,5.47,110014,1000,73651,73931,1
20170908,BUFF.BREAKFAST(A),15,5.47,110015,1000,75717,75813,1
20170908,BUFF.BREAKFAST(A),15,5.47,110018,1000,81323,82405,1
20170908,BUFF.BREAKFAST(A),15,5.47,110019,1000,83255,83704,2
20170908,BUFF.BREAKFAST(C),15,2.74,110019,1000,83255,83704,2
20170908,BUFF.BREAKFAST(A),15,10.94,110021,1000,91137,91545,2
20170908,BUFF.BREAKFAST(A),15,10.94,110023,1000,91642,93826,2
20170908,BUFF.BREAKFAST(A),15,5.47,110029,1000,103942,104109,1
20170908,NASI LEMAK,35,6.42,110030,1000,111002,132634,2
20170908,CAMOMILE TEA,35,6.79,110030,1000,111002,132634,2
20170908,CHAR KWAY TEOW,35,6.42,110030,1000,111002,132634,2
20170908,BUTTER FISH,90,13.87,110031,1000,122807,135508,3
20170908,CALAMARI RINGS,90,3.68,110031,1000,122807,135508,3
20170908,FISH & CHIPS,90,6.79,110031,1000,122807,135508,3
20170908,BUFF.LUNCH(A),15,16.6,110034,1000,133327,141924,2
20170908,NASI LEMAK,90,4.81,110036,1000,140135,143340,1
20170908,SMORREBROD,67,18.87,110041,1000,144242,152605,1
20170908,CALAMARI RINGS,67,12.26,110042,1000,145040,152548,1
20170908,MONTH CAKE SLC,3,5.66,110049,1000,181222,181848,1
20170908,MULTIGRAIN,3,6.6,110050,1000,182127,182205,1
20170908,MULTIGRAIN,3,19.81,110051,1000,183704,183748,1
20170908,CAESER SALAD,4,2.83,110053,1000,185524,192949,1
20170908,CHIC CHOP RICE,67,16.04,110055,1000,192207,203945,1
20170908,SALMON MEDALLIONS,15,5.38,110067,1000,221903,222058,1
20170909,FISH & CHIPS,4,4.53,110075,1000,64538,71220,2
20170909,LAMB CUTLETS,4,14.15,110075,1000,64538,71220,2
20170909,BUFF.BREAKFAST(A),15,5.47,110077,1000,73626,83035,2
20170909,BUFF.BREAKFAST(A),15,5.47,110078,1000,75303,82842,1
20170909,BUFF.BREAKFAST(A),15,10.94,110080,1000,81845,83131,2
20170909,BUFF.BREAKFAST(A),15,5.47,110084,1000,83638,85118,1
20170909,BUFF.BREAKFAST(A),15,10.94,110085,1000,85252,92913,2
20170909,GRILL STEAK,35,9.25,110089,1000,100948,112450,1
20170909,LIPTON TEA,35,3.4,110090,1000,102626,121732,2
20170909,OMELETTE,35,6.23,110090,1000,102626,121732,2
20170909,CAFE LATTE,35,4.15,110090,1000,102626,121732,2
20170909,LIPTON TEA,35,3.4,110090,1000,102626,121732,2
20170909,OMELETTE,35,6.23,110090,1000,102626,121732,2
20170909,MONTH CAKE SLC,85,5.66,110094,1000,114236,114336,1
20170909,N NUMB TONGUE,85,19.81,110095,1001,121508,123632,1
20170909,MUSHROOM SOUP,85,13.21,110099,1001,141042,143221,1
20170909,CHAR KWAY TEOW,85,16.51,110099,1001,141042,143221,1
20170909,BUFF.HI-TEA(A),15,7.36,110104,1000,162753,162859,1
20170909,N NUMB TONGUE,85,19.81,110107,1001,185310,192334,1
20170910,CAESER SALAD,4,2.83,110117,1000,63903,72614,1
20170910,BUFF.BREAKFAST(A),15,10.94,110122,1000,80229,80618,2
20170910,BUFF.BREAKFAST(A),15,5.47,110123,1000,80449,80837,1
20170910,BUFF.BREAKFAST(A),15,5.47,110124,1000,81110,81308,1
20170910,BUFF.BREAKFAST(A),15,10.94,110128,1000,85250,91334,2
20170910,FRESH ORANGE,15,1.98,110131,1000,90953,91409,1
20170910,QUESADILLA,15,3.21,110138,1000,124812,181039,4
20170910,MEXICANA,15,3.77,110138,1000,124812,181039,4
20170910,CAPPUCINO,15,2.07,110138,1000,124812,181039,4
20170910,MANGO JUICE,15,1.51,110138,1000,124812,181039,4
20170910,ICE LEMON TEA,15,1.79,110138,1000,124812,181039,4
20170910,CHIC TEMPURA,15,3.58,110138,1000,124812,181039,4
20170910,ICE LEMON TEA,15,1.79,110138,1000,124812,181039,4
20170910,ICE LEMON TEA,15,1.79,110138,1000,124812,181039,4
20170910,ENGLISH B/F TEA,15,3.4,110138,1000,124812,181039,4
20170910,EARL GREY TEA,15,1.7,110138,1000,124812,181039,4
20170910,CAPPUCINO,15,2.07,110138,1000,124812,181039,4
20170910,TENDERLOIN,15,7.55,110138,1000,124812,181039,4
20170910,N NUMB TONGUE,85,19.81,110139,1001,151435,153653,1
20170910,MONTH CAKE 1KG,15,9.43,110143,1000,191748,194854,1
20170911,F.BREWED COFFEE,15,1.98,110152,1000,81622,83216,2
20170911,FRESH ORANGE,15,1.98,110152,1000,81622,83216,2
20170911,BUFF.BREAKFAST(A),15,10.94,110152,1000,81622,83216,2
20170911,BUFF.BREAKFAST(A),15,5.47,110153,1000,81749,83305,1
20170911,BUFF.BREAKFAST(A),15,5.47,110155,1000,81906,83125,1
20170911,F.BREWED COFFEE,15,1.98,110157,1000,83249,83857,1
20170911,F.BREWED COFFEE,15,1.98,110157,1000,83249,83857,1
20170911,MALAYSIAN B'FAST,15,4.43,110161,1000,90307,94315,3
20170911,CHEESE,15,2.17,110161,1000,90307,94315,3
20170911,B/MILK PANCAKE,15,1.98,110161,1000,90307,94315,3
20170911,OPEN PTY-CAKE,43,275.47,110162,1000,92720,95901,1
20170911,HOT MILO,35,3.77,110166,1000,133618,140100,1
20170911,CHAR KWAY TEOW,35,6.42,110166,1000,133618,140100,1
20170911,PATTY MELT,15,3.3,110168,1002,141919,160530,2
20170911,AL SALMON E,15,3.77,110168,1002,141919,160530,2
20170911,SET N/TONGUE,85,27.83,110169,1001,143242,150153,1
20170911,SET TEXMEX BGR,85,27.83,110173,1001,161124,163943,1
20170911,MONTH CAKE SLC,3,11.32,110179,1000,183507,183516,1
20170911,CHICKEN RICE,85,19.81,110182,1001,201934,204949,1
20170911,COKE,85,6.6,110182,1001,201934,204949,1
20170912,BUFF.BREAKFAST(A),15,5.47,110197,1000,72442,73814,1
20170912,BUFF.BREAKFAST(A),15,16.41,110199,1000,93648,93828,3
20170912,CHIC TEMPURA,15,3.58,110203,1000,111919,115958,1
20170912,BUFF.LUNCH(A),18,8.3,110205,1000,125642,130146,1
20170912,LIME JUICE,18,1.51,110205,1000,125642,130146,1
20170912,N NUMB TONGUE,35,7.55,110207,1000,132403,141736,2
20170912,N NUMB TONGUE,35,7.55,110207,1000,132403,141736,2
20170912,LAKSA JOHOR,35,6.42,110207,1000,132403,141736,2
20170912,GAMBERI FRITTO,35,6.6,110207,1000,132403,141736,2
20170912,N NUMB TONGUE,15,3.77,110208,1000,140620,145653,2
20170912,ICE LEMON TEA,15,1.79,110208,1000,140620,145653,2
20170912,FRESH WATERMELON,15,1.98,110208,1000,140620,145653,2
20170912,ICE LEMON TEA,15,1.79,110208,1000,140620,145653,2
20170912,MONTH CAKE 1KG,68,28.3,110221,1000,213440,213536,1
20170913,BUFF.BREAKFAST(A),15,5.47,110233,1000,83313,90552,1
20170913,BUFF.BREAKFAST(A),15,5.47,110234,1000,85438,90709,1
20170913,BUFF.BREAKFAST(A),15,5.47,110235,1000,93912,100005,1
20170913,BUFF.BREAKFAST(A),15,5.47,110236,1000,94533,94834,1
20170913,BUFF.BREAKFAST(A),85,27.36,110237,1000,95040,95050,1
20170913,BUFF.BREAKFAST(A),15,5.47,110238,1000,95204,95521,1
20170913,NOODLE SOUP,15,3.11,110239,1000,103817,111647,2
20170913,NASI LEMAK,15,3.77,110239,1000,103817,111647,2
20170913,BUFF.BREAKFAST(A),85,27.36,110240,1000,104144,104455,1
20170913,SATAY,18,6.98,110241,1000,110140,112622,2
20170913,SATAY,18,6.98,110241,1000,110140,112622,2
