DATE,FOOD_ITEM,DISC_ID,DISC_AMT,MANAGER,CHECK_NUM,OUTLET,TIME_IN,TIME_OUT,GUEST
20180407,SATAY,85,18.39,FARHANA,110006,1001,222906,231557,1
20180407,PUMPKIN SOUP,85,12.73,FARHANA,110006,1001,222906,231557,1
20180407,BBQ CHIC SALAD,85,14.15,FARHANA,110006,1001,222906,231557,1
20180407,QUESADILLA,85,16.98,FARHANA,110007,1001,222935,230754,1
20180408,BUFF.BREAKFAST(A),15,10.94,AHMAD HUSAINI,110014,1000,65214,70729,1
20180408,BUFF.BREAKFAST(A),15,5.47,AHMAD HUSAINI,110015,1000,65222,70845,1
20180408,CHIC TEMPURA,4,3.58,AHMAD HUSAINI,110016,1000,74020,74134,1
20180408,2 FRESH EGGS,85,15.56,AHMAD HUSAINI,110020,1001,90827,101738,1
20180408,CAPPUCINO,15,4.15,AHMAD HUSAINI,110022,1000,100331,100857,2
20180408,MONTH CAKE 1KG,1,14.15,AHMAD HUSAINI,110030,1000,142818,144657,12
20180408,BUFF.HI-TEA(A),1,434.72,AHMAD HUSAINI,110030,1000,142818,144657,12
20180408,BUFF.HI-TEA(A),15,12.07,AHMAD HUSAINI,110041,1000,160537,161029,1
20180408,TV SET 3,85,27.83,FARHANA,110044,1001,164032,170853,1
20180408,FISH & CHIPS,15,4.53,FARHANA,110051,1002,232402,1048,0
20180408,TOMATO SOUP,15,2.45,FARHANA,110051,1002,232402,1048,0
20180408,BROWNIES,15,1.98,FARHANA,110051,1002,232402,1048,0
20180409,BUFF.BREAKFAST(C),15,8.21,AHMAD HUSAINI,110059,1000,85824,92054,3
20180409,MONTH CAKE SLC,68,3.4,AHMAD HUSAINI,110062,1000,105638,110342,1
20180409,BUFF.LUNCH(A),18,46.23,AHMAD HUSAINI,110063,1000,122914,125104,5
20180409,BUFF.LUNCH(A),15,27.74,AHMAD HUSAINI,110064,1000,122924,130740,3
20180409,BUFF.LUNCH(A),35,425.28,AHMAD HUSAINI,110065,1000,131456,135458,23
20180409,TV SET 1,85,27.83,SITI,110073,1001,175528,182736,1
20180410,TOAST&BAKERY,35,3.4,AHMAD HUSAINI,110084,1000,84656,93951,2
20180410,TEH TARIK,35,3.77,AHMAD HUSAINI,110084,1000,84656,93951,2
20180410,CAPPUCINO,35,4.15,AHMAD HUSAINI,110084,1000,84656,93951,2
20180410,F.BREWED COFFEE,35,7.92,AHMAD HUSAINI,110084,1000,84656,93951,2
20180410,OMELETTE,35,6.23,AHMAD HUSAINI,110084,1000,84656,93951,2
20180410,MONTH CAKE 1KG,18,18.87,AHMAD HUSAINI,110089,1000,110745,110931,1
20180410,BUFF.LUNCH(A),41,41.6,AHMAD HUSAINI,110091,1000,130444,130554,3
20180410,BUFF.LUNCH(A),41,97.08,AHMAD HUSAINI,110092,1000,135247,135343,7
20180410,BUFF.LUNCH(A),1,166.42,AHMAD HUSAINI,110094,1000,140015,140406,6
20180410,MONTH CAKE SLC,3,5.66,THAN (FUKAZA),110104,1000,175705,175737,1
20180410,MONTH CAKE SLC,3,5.66,THAN (FUKAZA),110104,1000,175705,175737,1
20180410,TV SET 4,85,27.83,THAN (FUKAZA),110106,1001,183143,185229,1
20180410,FRENCH BREAD,3,13.21,THAN (FUKAZA),110107,1000,184046,184321,1
20180410,FRENCH BREAD,3,13.21,THAN (FUKAZA),110108,1000,184142,184212,1
20180410,TV SET 4,85,27.83,THAN (FUKAZA),110109,1001,185303,192128,1
20180410,MONTH CAKE SLC,3,11.32,THAN (FUKAZA),110114,1000,195342,195354,1
20180410,QUESADILLA,85,16.98,THAN (FUKAZA),110121,1001,220414,223250,1
20180411,BUFF.BREAKFAST(A),15,5.47,AHMAD HUSAINI,110127,1000,83321,83440,1
20180411,BUFF.BREAKFAST(C),15,8.21,AHMAD HUSAINI,110129,1000,92408,92607,3
20180411,BUFF.BREAKFAST(A),15,5.47,AHMAD HUSAINI,110130,1000,101602,102722,1
20180411,FRESH WATERMELON,85,9.9,THAN (FUKAZA),110140,1001,172421,180912,1
20180411,PATTY MELT,85,17.45,THAN (FUKAZA),110140,1001,172421,180912,1
20180411,WHOLEMEAL,3,13.21,THAN (FUKAZA),110142,1000,175149,180926,1
20180411,N NUMB TONGUE,85,19.81,THAN (FUKAZA),110143,1001,181302,184143,1
20180411,MONTH CAKE SLC,3,5.66,THAN (FUKAZA),110144,1000,182246,182255,1
20180411,MONTH CAKE SLC,3,11.32,THAN (FUKAZA),110147,1000,192926,192933,1
20180411,TOMATO SOUP,15,2.45,THAN (FUKAZA),110154,1000,232056,233538,1
20180411,SALMON MEDALLIONS,15,5.38,THAN (FUKAZA),110154,1000,232056,233538,1
20180412,BUFF.BREAKFAST(A),15,5.47,AHMAD HUSAINI,110159,1000,70848,71823,1
20180412,BUFF.BREAKFAST(A),15,5.47,AHMAD HUSAINI,110162,1000,81001,81055,1
20180412,BUFF.BREAKFAST(A),15,5.47,AHMAD HUSAINI,110163,1000,81413,82849,1
20180412,BUFF.BREAKFAST(C),15,8.21,AHMAD HUSAINI,110164,1000,104853,105024,3
20180412,MONTH CAKE SLC,15,1.13,SI,110169,1000,135148,145125,1
20180412,BUFF.LUNCH(A),41,152.55,AHMAD HUSAINI,110171,1000,135654,142741,11
20180412,MONTH CAKE 1KG,68,28.3,SI,110175,1000,172041,220218,1
20180412,TV SET 2,85,27.83,SI,110177,1001,173703,182117,1
20180413,BUFF.BREAKFAST(A),15,5.47,THAN (FUKAZA),110196,1000,72429,72522,1
20180413,BUFF.BREAKFAST(A),1,32.83,THAN (FUKAZA),110200,1000,102049,104501,2
20180413,GRILL STEAK,35,9.25,THAN (FUKAZA),110201,1000,103528,115030,1
20180413,MONTH CAKE 1KG,68,28.3,THAN (FUKAZA),110202,1000,121906,121956,1
20180413,N NUMB TONGUE,35,7.55,THAN (FUKAZA),110204,1000,125504,144719,4
20180413,CHIC CHOP RICE,35,6.42,THAN (FUKAZA),110204,1000,125504,144719,4
20180413,SATAY,35,6.98,THAN (FUKAZA),110204,1000,125504,144719,4
20180413,BUFF.LUNCH(A),15,46.23,THAN (FUKAZA),110209,1000,144212,144638,5
20180413,BUFF.LUNCH(A),67,46.22,SI,110214,1000,173454,173611,1
20180413,MONTH CAKE SLC,3,16.98,SI,110216,1000,175615,180146,1
20180413,TV SET 4,85,27.83,SI,110217,1001,180743,185643,1
20180413,CHAR KWAY TEOW,85,16.98,SI,110217,1001,180743,185643,1
20180413,FRESH WATERMELON,4,1.98,SI,110225,1000,200841,210438,1
20180414,BUFF.BREAKFAST(A),15,5.47,THAN (FUKAZA),110237,1000,75244,75947,1
20180414,BUFF.BREAKFAST(A),15,10.94,THAN (FUKAZA),110241,1000,93244,101947,2
20180414,F.BREWED COFFEE,15,1.98,THAN (FUKAZA),110243,1000,101003,101157,1
20180414,TOAST&BAKERY,15,1.7,THAN (FUKAZA),110243,1000,101003,101157,1
20180414,BUFF.BREAKFAST(A),15,5.47,THAN (FUKAZA),110244,1000,101230,101758,1
20180414,HEALTHY SET C,85,27.83,SI,110253,1001,150724,185131,1
20180414,QUESADILLA,15,3.21,SI,110263,1000,202153,212545,2
20180414,EARL GREY TEA,15,1.7,SI,110263,1000,202153,212545,2
20180414,PATTY MELT,15,3.3,SI,110263,1000,202153,212545,2
20180414,MONTH CAKE SLC,3,5.66,SI,110265,1000,203519,203600,1
20180414,MONTH CAKE SLC,3,11.32,SI,110269,1000,214126,214133,1
20180414,MEE MAMAK,35,6.42,SI,110272,1002,1019,1049,1
20180414,POTATO CHIPS,35,3.4,SI,110272,1002,1019,1049,1
20180415,BUFF.BREAKFAST(A),15,5.47,THAN (FUKAZA),110278,1000,92943,93929,1
20180415,MONTH CAKE 1KG,68,28.3,THAN (FUKAZA),110281,1000,113123,113223,1
20180415,PUMPKIN SOUP,85,12.73,THAN (FUKAZA),110283,1001,130416,132727,1
20180415,AL CARTOCCIO,85,19.81,SI,110292,1001,175321,182804,2
20180415,NAPOLITANO,85,16.04,SI,110292,1001,175321,182804,2
20180415,TENDERLOIN,85,38.68,SI,110293,1001,181416,184533,1
20180415,SATAY,15,3.49,SI,110299,1000,195154,204253,1
20180415,POTATO CHIPS,15,1.7,SI,110299,1000,195154,204253,1
20180415,BBQ CHIC SALAD,15,2.64,SI,110299,1000,195154,204253,1
20180415,LIPTON TEA,15,3.4,SI,110299,1000,195154,204253,1
20180416,BUFF.BREAKFAST(A),15,10.94,MOHAMAD RASHID,110310,1000,70127,80034,2
20180416,BUFF.BREAKFAST(A),85,27.36,THAN (FUKAZA),110312,1000,73223,81030,1
20180416,BUFF.BREAKFAST(A),15,16.41,THAN (FUKAZA),110316,1000,85405,85624,3
20180416,BUFF.BREAKFAST(A),15,5.47,THAN (FUKAZA),110317,1000,85656,85731,1
20180416,BUFF.BREAKFAST(A),15,5.47,THAN (FUKAZA),110318,1000,91155,91239,1
20180416,BUFF.BREAKFAST(A),15,5.47,THAN (FUKAZA),110319,1000,92248,92341,1
20180416,SPRITZER,15,3.77,THAN (FUKAZA),110321,1000,94040,94328,1
20180416,BUFF.BREAKFAST(C),15,2.74,THAN (FUKAZA),110323,1000,95152,95234,2
20180416,TEH TARIK,35,3.77,THAN (FUKAZA),110332,1000,132550,135409,2
20180416,NESCAFE TARIK,35,3.77,THAN (FUKAZA),110332,1000,132550,135409,2
20180416,PUMPKIN SOUP,35,4.72,SI,110342,1000,175619,191814,2
20180416,MUSHROOM SOUP,35,4.91,SI,110342,1000,175619,191814,2
20180416,SATAY,35,6.98,SI,110342,1000,175619,191814,2
20180416,AL SALMONE,35,7.55,SI,110342,1000,175619,191814,2
20180416,LAKSA JOHOR,35,6.42,SI,110342,1000,175619,191814,2
20180416,FRESH WATERMELON,35,3.96,SI,110342,1000,175619,191814,2
20180416,FRESH WATERMELON,35,3.96,SI,110342,1000,175619,191814,2
20180416,CHIC CHOP RICE,35,6.42,SI,110342,1000,175619,191814,2
20180416,FRESH ORANGE,35,3.96,SI,110342,1000,175619,191814,2
20180416,FETT.CARBONARA,85,18.87,SI,110344,1001,180454,185135,1
20180416,SATAY,85,18.39,SI,110345,1001,181058,184834,1
20180416,FRESH WATERMELON,35,3.96,SI,110357,1000,210031,215407,1
20180416,LIPTON TEA,35,3.4,SI,110357,1000,210031,215407,1
20180416,MONTH CAKE 1KG,38,18.87,SI,110359,1000,220041,221100,1
20180417,CAPPUCINO,15,2.07,FARHANA,110374,1000,83443,84025,1
20180417,BUFF.BREAKFAST(A),15,5.47,FARHANA,110375,1000,84529,85054,1
20180417,BUFF.BREAKFAST(A),15,5.47,FARHANA,110381,1000,93334,94102,1
20180417,BUFF.BREAKFAST(A),15,16.41,FARHANA,110382,1000,94206,94336,3
20180417,MALAYSIAN B'FAST,15,4.43,FARHANA,110383,1000,104956,114205,2
20180417,TV SET 4,67,27.83,FARHANA,110384,1001,105142,112728,1
20180417,AL SALMONE,1,22.64,FARHANA,110385,1000,124851,141036,2
20180417,BUFF.LUNCH(A),35,332.83,FARHANA,110387,1000,132135,134916,18
20180417,MONTH CAKE SLC,68,6.79,SI,110391,1000,142819,144836,1
20180417,SATAY,35,6.98,SI,110394,1000,150418,154916,1
20180417,CHAR KWAY TEOW,15,3.21,SI,110402,1000,183636,190104,1
20180417,F.BREWED COFFEE,15,1.98,SI,110402,1000,183636,190104,1
20180417,MEE MAMAK,35,6.42,SI,110404,1000,190138,202308,3
20180417,EGG,35,1.13,SI,110404,1000,190138,202308,3
20180417,EGG,35,1.13,SI,110404,1000,190138,202308,3
20180417,FRESH ORANGE,35,3.96,SI,110404,1000,190138,202308,3
20180417,CAESER SALAD,35,5.66,SI,110404,1000,190138,202308,3
20180417,TEH TARIK,35,3.77,SI,110404,1000,190138,202308,3
20180417,TEH TARIK,35,3.77,SI,110404,1000,190138,202308,3
20180417,MONTH CAKE SLC,3,11.32,SI,110407,1000,195006,195011,1
20180417,TV SET 6,85,27.83,SI,110411,1001,195936,204502,1
20180417,CAMOMILE TEA,15,1.7,SI,110414,1000,204314,212441,1
20180417,MEE MAMAK,15,3.21,SI,110414,1000,204314,212441,1
20180417,LIPTON TEA,35,3.4,SI,110420,1000,222002,231509,3
20180417,BEEF SIRLOIN,35,13.58,SI,110420,1000,222002,231509,3
20180417,N NUMB TONGUE,35,7.55,SI,110420,1000,222002,231509,3
20180417,NYONYA CURRY,35,6.42,SI,110420,1000,222002,231509,3
20180417,F.BREWED COFFEE,35,3.96,SI,110420,1000,222002,231509,3
20180417,LIPTON TEA,35,3.4,SI,110420,1000,222002,231509,3
20180418,BUFF.BREAKFAST(A),15,5.47,FARHANA,110428,1000,75439,75505,1
20180418,LIPTON TEA,67,8.49,FARHANA,110431,1002,110007,110020,1
20180418,CUP CAKE,67,9.43,FARHANA,110432,1000,110319,110329,1
20180418,FRESH ORANGE,67,9.9,FARHANA,110433,1000,110450,110504,1
20180418,CAESER SALAD,85,15.09,FARHANA,110438,1001,131149,141038,1
20180418,CALAMARI RINGS,85,13.21,FARHANA,110438,1001,131149,141038,1
20180418,CHAR KWAY TEOW,85,16.98,FARHANA,110438,1001,131149,141038,1
20180418,COKE,15,5.28,FARHANA,110439,1000,133924,135417,4
20180418,MONTH CAKE 1.5KG,18,14.15,FARHANA,110442,1000,141918,154742,1
20180418,HEALTHY SET D,85,27.83,ZIN,110450,1001,161237,180934,1
20180418,TV SET 3,85,27.83,ZIN,110452,1001,180833,183141,1
20180418,MONTH CAKE SLC,3,5.66,ZIN,110454,1000,183736,183752,1
20180418,CHIC ROULADE,85,24.05,ZIN,110455,1001,195558,201858,1
20180419,BUFF.BREAKFAST(A),15,5.47,FARHANA,110471,1000,74723,82210,1
20180419,CAPPUCINO,15,2.07,FARHANA,110472,1000,81952,82153,1
20180419,BUFF.BREAKFAST(A),15,5.47,FARHANA,110473,1000,82710,83047,1
20180419,BUFF.BREAKFAST(A),15,5.47,FARHANA,110474,1000,82742,83126,1
20180419,BUFF.BREAKFAST(A),15,5.47,FARHANA,110475,1000,90547,92138,1
20180419,GRILL STEAK,35,18.49,FARHANA,110476,1000,92235,100811,2
20180419,PATTY MELT,35,6.6,FARHANA,110480,1000,123609,134029,3
20180419,FISH & CHIPS,35,9.06,FARHANA,110480,1000,123609,134029,3
20180419,MEXICANA,35,7.55,FARHANA,110480,1000,123609,134029,3
20180419,SPRITE,35,2.64,FARHANA,110480,1000,123609,134029,3
20180419,COKE,35,2.64,FARHANA,110480,1000,123609,134029,3
20180419,TV SET 3,85,27.83,FARHANA,110482,1001,130852,134503,1
20180419,PHILLY STEAK,4,3.96,ZIN,110499,1000,214820,220827,1
20180419,MONTH CAKE SLC,3,5.66,ZIN,110500,1000,214921,214928,1
20180419,FRESH ORANGE,4,3.96,ZIN,110503,1000,223837,225931,1
20180419,SATAY,35,6.98,ZIN,110505,1002,1617,4612,4
20180419,GINGER ALE,35,2.64,ZIN,110505,1002,1617,4612,4
20180419,CAFE LATTE,35,4.15,ZIN,110505,1002,1617,4612,4
20180419,GARLIC BAGUETE,35,2.83,ZIN,110505,1002,1617,4612,4
20180419,LIME JUICE,35,6.04,ZIN,110505,1002,1617,4612,4
20180420,BUFF.BREAKFAST(A),15,32.83,FARHANA,110512,1000,72809,84003,6
20180420,BUFF.BREAKFAST(A),15,10.94,FARHANA,110513,1000,73156,80046,2
20180420,FISH & CHIPS,4,4.53,FARHANA,110514,1000,80140,80150,1
20180420,BUFF.BREAKFAST(A),15,5.47,FARHANA,110516,1000,82623,83354,1
20180420,BUFF.BREAKFAST(A),15,5.47,FARHANA,110517,1000,91802,92028,1
20180420,MONTH CAKE 1KG,68,14.15,FARHANA,110529,1000,140946,141139,1
20180420,CHAR KWAY TEOW,85,16.98,ZIN,110536,1001,182232,184725,1
20180420,GARLIC BAGUETE,15,1.41,ZIN,110540,1000,185603,190237,1
20180420,SATAY,15,3.49,ZIN,110540,1000,185603,190237,1
20180420,MONTH CAKE 1KG,68,28.3,ZIN,110543,1000,203329,203512,1
20180421,COKE,85,6.6,MOHAMAD RASHID,110548,1001,50134,50321,1
20180421,COKE,85,6.6,MOHAMAD RASHID,110548,1001,50134,50321,1
20180421,CAESER SALAD,4,2.83,FARHANA,110555,1000,74250,74307,1
20180421,MONTH CAKE 1KG,4,9.43,FARHANA,110557,1000,75911,75921,1
20180421,OPEN PTY-BREAD,35,15.09,FARHANA,110566,1000,122816,122827,1
20180421,HEALTHY SET A,85,27.83,FARHANA,110569,1001,133136,140446,1
20180421,TV SET 3,85,27.83,FARHANA,110588,1001,180812,185625,1
20180422,BUFF.BREAKFAST(A),15,5.47,FARHANA,110607,1000,81149,81350,1
