DATE,FOOD_ITEM,DISC_ID,DISC_AMT,CHECK_NUM,OUTLET,TIME_IN,TIME_OUT,GUEST
20180201,DB ESPRESSO,15,2.07,117195,1000,84834,111024,0
20180201,F.BREWED COFFEE,15,1.98,117195,1000,84834,111024,0
20180201,F.BREWED COFFEE,15,1.98,117195,1000,84834,111024,0
20180201,DB ESPRESSO,15,2.07,117195,1000,84834,111024,0
20180201,BUFF.BREAKFAST(A),15,10.94,117196,1000,93335,103205,2
20180201,MONTH CAKE SLC,35,4.53,117200,1002,115237,132941,3
20180201,N NUMB TONGUE,85,19.81,117207,1001,161858,164113,1
20180201,HEALTHY SET A,85,27.83,117209,1001,180730,184018,1
20180201,MONTH CAKE SLC,3,16.98,117210,1000,181147,181154,1
20180201,MONTH CAKE SLC,3,11.32,117211,1000,185318,185326,1
20180201,SATAY,85,17.45,117217,1000,202634,210110,1
20180201,HOT MILO,85,9.43,117218,1001,203300,210156,1
20180201,SATAY,85,18.39,117218,1001,203300,210156,1
20180201,N NUMB TONGUE,85,19.81,117218,1001,203300,210156,1
20180202,BUFF.BREAKFAST(A),15,5.47,117228,1000,80916,82047,1
20180202,BUFF.BREAKFAST(A),15,10.94,117229,1000,81306,81847,2
20180202,BUFF.BREAKFAST(A),15,5.47,117231,1000,83644,85733,1
20180202,BUFF.BREAKFAST(A),85,27.36,117232,1000,85643,90307,1
20180202,BUFF.LUNCH(A),35,36.98,117239,1000,143026,143213,2
20180202,COKE,85,6.6,117240,1001,154155,160420,1
20180202,CHAR KWAY TEOW,85,16.98,117240,1001,154155,160420,1
20180202,SATAY,85,18.39,117240,1001,154155,160420,1
20180202,TOMATO SOUP,85,13.21,117243,1001,160556,163015,1
20180202,N NUMB TONGUE,85,19.81,117243,1001,160556,163015,1
20180202,FETT.CARBONARA,85,18.87,117245,1001,172348,175015,1
20180202,BBQ CHIC SALAD,85,14.15,117245,1001,172348,175015,1
20180202,N NUMB TONGUE,85,19.81,117246,1001,184633,191355,1
20180202,CHIC CHOP RICE,67,16.04,117247,1000,194758,220820,1
20180202,N NUMB TONGUE,67,18.87,117247,1000,194758,220820,1
20180202,MEE MAMAK,85,16.98,117251,1001,205541,212236,1
20180202,GARLIC BAGUETE,67,7.07,117257,1000,220356,220727,1
20180203,BUFF.BREAKFAST(A),15,5.47,117261,1000,63810,63937,1
20180203,BUFF.BREAKFAST(A),15,5.47,117262,1000,65945,72703,1
20180203,BUFF.BREAKFAST(A),41,16.41,117267,1000,85721,101933,2
20180203,BUFF.BREAKFAST(A),15,27.36,117270,1000,93301,100504,6
20180203,BUFF.BREAKFAST(C),15,2.74,117270,1000,93301,100504,6
20180203,BUFF.HI-TEA(A),15,8.3,117276,1000,131951,132059,1
20180203,BUFF.BREAKFAST(A),15,5.47,117277,1000,134633,134838,1
20180203,MONTH CAKE SLC,68,6.79,117278,1000,141233,141254,1
20180203,BUFF.HI-TEA(A),90,149.43,117281,1000,144255,144331,12
20180203,BUFF.HI-TEA(A),67,83.02,117285,1000,151949,152253,2
20180203,FETT.CARBONARA,85,18.87,117293,1001,175547,181437,1
20180203,MONTH CAKE 1KG,68,113.21,117294,1000,181910,182014,1
20180203,MONTH CAKE SLC,3,11.32,117295,1000,191133,191150,1
20180203,FRESH WATERMELON,4,1.98,117298,1000,211758,213716,1
20180203,FRESH WATERMELON,4,1.98,117298,1000,211758,213716,1
20180203,FRESH ORANGE,4,1.98,117299,1000,214257,215835,1
20180204,BUFF.BREAKFAST(A),15,21.89,117311,1000,75501,83506,4
20180204,BUFF.BREAKFAST(A),15,5.47,117313,1000,91507,100044,1
20180204,BUFF.BREAKFAST(A),15,10.94,117314,1000,92058,100314,2
20180204,BUFF.BREAKFAST(A),15,5.47,117315,1000,92311,94847,1
20180204,N NUMB TONGUE,85,19.81,117317,1001,115923,121937,1
20180204,BUFF.HI-TEA(A),15,8.3,117320,1000,134744,134858,1
20180204,BUFF.HI-TEA(A),15,8.3,117325,1000,140003,143412,1
20180204,BUFF.HI-TEA(A),15,8.3,117327,1000,142933,150136,1
20180204,BUFF.HI-TEA(A),90,62.26,117329,1000,154306,154505,9
20180204,BUFF.HI-TEA(C),90,18.68,117329,1000,154306,154505,9
20180204,MONTH CAKE 1KG,35,18.87,117330,1000,160217,160338,1
20180204,MONTH CAKE SLC,15,1.13,117331,1000,171557,171656,1
20180205,BUFF.BREAKFAST(A),15,5.47,117336,1000,70958,71557,1
20180205,BUFF.BREAKFAST(A),15,5.47,117337,1000,71138,72902,1
20180205,BUFF.BREAKFAST(A),15,5.47,117338,1000,81725,81851,1
20180205,N NUMB TONGUE,85,19.81,117340,1001,122935,125438,1
20180205,PINEAPPLE SMOOTHIE,15,1.41,117341,1000,124721,135932,6
20180205,LIME JUICE,15,3.02,117341,1000,124721,135932,6
20180205,AL GRANCHIO,15,3.77,117341,1000,124721,135932,6
20180205,CAESER SALAD,15,5.66,117341,1000,124721,135932,6
20180205,CAESER SALAD,15,2.83,117341,1000,124721,135932,6
20180205,PERRIER,15,1.79,117341,1000,124721,135932,6
20180205,PUMPKIN SOUP,15,4.72,117341,1000,124721,135932,6
20180205,FISH & CHIPS,15,4.53,117341,1000,124721,135932,6
20180205,LIME JUICE,15,1.51,117341,1000,124721,135932,6
20180205,CAPPUCINO,35,4.15,117344,1000,142042,150120,1
20180205,EASTIN CLUB,35,6.98,117344,1000,142042,150120,1
20180205,MONTH CAKE SLC,3,11.32,117349,1000,180323,184354,1
20180205,WHITE LOAF,3,6.6,117367,1000,204240,204254,1
20180205,CHIC CHOP RICE,15,3.21,117371,1000,213746,214014,1
20180205,COKE,15,1.32,117371,1000,213746,214014,1
20180205,ARUGULA SALAD,15,2.64,117378,1002,231153,234335,1
20180205,CAMOMILE TEA,15,1.7,117378,1002,231153,234335,1
20180206,BUFF.BREAKFAST(A),15,5.47,117391,1000,81448,81643,1
20180206,BUFF.BREAKFAST(A),15,5.47,117393,1000,84929,91013,1
20180206,MONTH CAKE 1KG,68,14.15,117400,1000,142612,142701,1
20180206,TV SET 3,85,27.83,117401,1001,164028,170517,1
20180206,N NUMB TONGUE,85,19.81,117404,1001,181229,183007,1
20180206,CAESER SALAD,4,2.83,117410,1000,192935,194420,1
20180206,MEE MAMAK,98,4.81,117411,1000,200037,204630,3
20180206,CHAR KWAY TEOW,98,4.81,117411,1000,200037,204630,3
20180206,LAMB CUTLETS,98,10.61,117411,1000,200037,204630,3
20180206,EASTIN CLUB,4,3.49,117429,1000,220918,223614,1
20180207,CAPPUCINO,15,2.07,117438,1000,81247,82018,1
20180207,BUFF.BREAKFAST(A),15,5.47,117440,1000,92833,93158,1
20180207,BUFF.BREAKFAST(A),15,10.94,117441,1000,93352,101425,2
20180207,BUFF.BREAKFAST(A),90,16.41,117442,1000,93408,135029,2
20180207,2 FRESH EGGS,35,6.23,117443,1000,95634,115315,5
20180207,TOAST&BAKERY,35,3.4,117443,1000,95634,115315,5
20180207,SGL ESPRESSO,35,7.92,117443,1000,95634,115315,5
20180207,CAPPUCINO,35,4.15,117443,1000,95634,115315,5
20180207,F.BREWED COFFEE,35,3.96,117443,1000,95634,115315,5
20180207,TOMATO JUICE,35,3.02,117443,1000,95634,115315,5
20180207,PHILLY STEAK,35,7.92,117450,1000,120426,131615,2
20180207,ICE LEMON TEA,35,3.58,117450,1000,120426,131615,2
20180207,SALMON MEDALLIONS,35,10.75,117450,1000,120426,131615,2
20180207,HEALTHY SET C,85,27.83,117451,1001,120911,125211,1
20180207,OPEN FD-LAMB,1,9.91,117452,1000,122711,125757,4
20180207,N NUMB TONGUE,1,22.64,117452,1000,122711,125757,4
20180207,AL PESTO,1,9.62,117452,1000,122711,125757,4
20180207,BUFF.LUNCH(A),85,46.22,117453,1000,124300,124556,1
20180207,TV SET 3,85,27.83,117455,1001,130100,132123,1
20180207,MONTH CAKE 1KG,68,14.15,117456,1000,135717,135905,1
20180207,BUFF.LUNCH(A),90,55.47,117463,1000,151645,151853,4
20180207,TV SET 3,85,27.83,117467,1001,165457,172604,1
20180207,FETT.CARBONARA,67,17.92,117475,1000,194632,213405,1
20180207,TV SET 3,85,27.83,117480,1001,200146,202207,1
20180207,TV SET 1,85,27.83,117484,1001,202049,204939,1
20180207,MEE MAMAK,15,3.21,117488,1000,210904,215141,1
20180207,SPRITE,15,1.32,117488,1000,210904,215141,1
20180207,EASTIN CLUB,15,3.49,117489,1000,210922,215158,1
20180207,COKE,15,1.32,117489,1000,210922,215158,1
20180207,N NUMB TONGUE,85,18.87,117491,1000,211152,215512,1
20180207,FRESH ORANGE,67,9.9,117494,1000,222253,222733,1
20180207,MEXICANA,67,18.87,117494,1000,222253,222733,1
20180208,F.BREWED COFFEE,15,7.92,117501,1000,84344,85654,1
20180208,HEALTHY SET B,85,27.83,117502,1001,113438,120505,1
20180208,TV SET 3,85,27.83,117505,1001,125954,132405,1
20180208,FRESH ORANGE,35,3.96,117507,1000,131349,140320,3
20180208,N NUMB TONGUE,35,22.64,117507,1000,131349,140320,3
20180208,FRESH APPLE,35,3.96,117507,1000,131349,140320,3
20180208,TV SET 2,85,27.83,117511,1001,143212,150937,1
20180208,GROUPER FILLET,98,8.49,117520,1000,175055,193312,1
20180208,SATAY,98,5.24,117520,1000,175055,193312,1
20180208,MUSHROOM SOUP,98,3.68,117520,1000,175055,193312,1
20180208,LAKSA JOHOR,98,4.81,117520,1000,175055,193312,1
20180208,N NUMB TONGUE,15,3.77,117521,1000,175803,175942,1
20180208,QUESADILLA,85,16.98,117522,1001,180219,185101,1
20180208,MONTH CAKE SLC,3,5.66,117523,1000,180613,180743,1
20180208,FRENCH BREAD,3,6.6,117533,1000,203316,203541,1
20180208,MONTH CAKE SLC,3,5.66,117533,1000,203316,203541,1
20180208,TV SET 2,85,27.83,117535,1001,203925,213559,1
20180208,TV SET 3,85,27.83,117535,1001,203925,213559,1
20180208,TV SET 3,85,27.83,117537,1001,205856,213613,1
20180208,MONTH CAKE SLC,3,5.66,117539,1000,220745,220801,1
20180209,BUFF.BREAKFAST(A),15,10.94,117546,1000,70533,80312,2
20180209,BUFF.BREAKFAST(A),15,5.47,117547,1000,72444,73742,1
20180209,BUFF.BREAKFAST(A),15,5.47,117548,1000,81445,81804,1
20180209,BUFF.BREAKFAST(A),15,5.47,117549,1000,84003,84450,1
20180209,AMERICAN,85,25.0,117550,1001,84846,100034,1
20180209,DB ESPRESSO,15,2.07,117552,1000,85323,91241,1
20180209,BUFF.BREAKFAST(A),1,196.98,117553,1000,85817,92636,12
20180209,DB ESPRESSO,15,2.07,117554,1002,91504,92415,1
20180209,TV SET 3,85,27.83,117563,1001,144119,150640,1
20180209,SATAY,15,3.49,117572,1000,175136,183017,1
20180209,LAKSA JOHOR,15,3.21,117572,1000,175136,183017,1
20180209,MONTH CAKE 1KG,68,14.15,117573,1000,180811,181142,1
20180209,CAESER SALAD,4,5.66,117574,1000,182234,185635,1
20180209,LAKSA JOHOR,85,16.98,117583,1001,203411,210911,1
20180209,INCHE KABIN,85,18.87,117583,1001,203411,210911,1
20180209,CALAMARI RINGS,85,12.26,117585,1000,205627,220251,2
20180209,LAKSA JOHOR,85,32.07,117585,1000,205627,220251,2
20180209,SATAY,85,17.45,117585,1000,205627,220251,2
20180209,OPEN FD-BUFFET DINNE,1,3115.47,117589,1000,214109,214716,86
20180210,BUFF.BREAKFAST(A),98,16.41,117601,1000,101932,102637,1
20180210,GRILL STEAK,35,9.25,117603,1000,103701,121445,1
20180210,MONTH CAKE 1KG,68,56.6,117605,1000,113356,113551,1
20180210,TV SET 4,85,27.83,117611,1001,180414,183121,1
20180210,MONTH CAKE SLC,3,5.66,117619,1000,221249,221303,1
20180210,MONTH CAKE SLC,3,11.32,117621,1000,223700,223708,1
20180211,MONTH CAKE 1KG,4,9.43,117625,1000,70931,70942,1
20180211,BUFF.BREAKFAST(C),15,2.74,117626,1000,84212,85225,4
20180211,BUFF.BREAKFAST(A),15,10.94,117626,1000,84212,85225,4
20180211,BUFF.HI-TEA(A),85,41.51,117631,1000,121304,140350,1
20180211,BUFF.HI-TEA(A),98,12.45,117633,1000,122646,122848,1
20180211,BUFF.HI-TEA(A),35,33.21,117643,1000,154138,154431,0
20180211,NASI LEMAK,85,16.98,117644,1001,162145,163935,1
20180211,HEALTHY SET C,85,27.83,117646,1001,182625,191313,1
20180211,TV SET 4,85,27.83,117646,1001,182625,191313,1
20180211,CURRY GROUPER,15,5.66,117647,1000,185137,194139,1
20180211,MONTH CAKE SLC,3,22.64,117650,1000,193453,193506,1
20180211,PATTY MELT,35,13.21,117655,1002,235335,235559,1
20180212,OPEN FD-LOH MA KAI,35,26.42,117661,1000,83244,83324,1
20180212,CAPPUCINO,35,4.15,117663,1000,90815,102543,4
20180212,ENGLISH B/F TEA,35,3.4,117663,1000,90815,102543,4
20180212,F.BREWED COFFEE,35,3.96,117663,1000,90815,102543,4
20180212,CAPPUCINO,35,4.15,117663,1000,90815,102543,4
20180212,BUFF.BREAKFAST(A),85,27.36,117664,1000,113028,113047,1
20180212,CHAR KWAY TEOW,35,6.42,117666,1000,125238,132931,3
20180212,MEE MAMAK,35,12.83,117666,1000,125238,132931,3
20180212,TEH TARIK,35,3.77,117666,1000,125238,132931,3
20180212,MONTH CAKE SLC,85,5.66,117668,1000,144846,154055,1
20180212,CHIC CHOP RICE,85,16.04,117668,1000,144846,154055,1
20180212,PUMPKIN SOUP,85,11.79,117668,1000,144846,154055,1
20180212,PERRIER,85,8.96,117668,1000,144846,154055,1
20180212,LAKSA JOHOR,85,16.98,117671,1001,175550,182557,1
20180212,N NUMB TONGUE,85,19.81,117672,1001,180559,182611,1
20180212,TV SET 4,85,27.83,117673,1001,183151,190246,1
20180212,OPEN FD-BUFFER DNR,33,44.53,117679,1000,201337,212815,2
20180212,NASI LEMAK,15,3.21,117686,1002,221309,224632,1
20180213,BUFF.BREAKFAST(A),15,5.47,117690,1000,70905,71045,1
20180213,BUFF.BREAKFAST(A),15,5.47,117691,1000,73742,80654,1
20180213,AMERICAN,85,25.0,117694,1001,90753,95746,1
