DATE,FOOD_ITEM,DISC_ID,DISC_AMT,CHECK_NUM,OUTLET,TIME_IN,TIME_OUT,GUEST
20180101,BUFF.BREAKFAST(A),15,5.47,115902,1000,71356,81118,1
20180101,BUFF.BREAKFAST(A),15,10.94,115903,1000,81519,81620,2
20180101,BUFF.BREAKFAST(C),15,2.74,115904,1000,83052,83408,1
20180101,BUFF.BREAKFAST(C),15,2.74,115905,1000,83528,83559,1
20180101,BUFF.BREAKFAST(C),15,2.74,115906,1000,84304,91942,1
20180101,BUFF.BREAKFAST(C),15,2.74,115907,1000,85142,85202,1
20180101,TV SET 4,85,27.83,115910,1001,122838,130249,1
20180101,TV SET 4,85,27.83,115913,1001,141613,144523,1
20180101,N NUMB TONGUE,85,19.81,115915,1001,183200,192629,1
20180102,BUFF.BREAKFAST(A),15,5.47,115929,1000,82634,83157,1
20180102,BUFF.BREAKFAST(A),15,5.47,115931,1000,101924,103810,1
20180102,TOMATO SOUP,35,4.91,115934,1000,122408,132712,1
20180102,FRESH ORANGE,35,3.96,115934,1000,122408,132712,1
20180102,LAKSA JOHOR,35,6.42,115934,1000,122408,132712,1
20180102,CAESER SALAD,35,5.66,115934,1000,122408,132712,1
20180102,HEALTHY SET A,85,27.83,115942,1001,160935,164701,1
20180102,PHILLY STEAK,4,3.96,115945,1000,181515,192259,1
20180102,PHILLY STEAK,4,3.96,115945,1000,181515,192259,1
20180102,CAPPUCINO,85,10.37,115947,1001,183240,191517,1
20180102,CHAR KWAY TEOW,85,16.51,115947,1001,183240,191517,1
20180102,FRUIT PLATE,85,10.85,115956,1001,212929,222024,1
20180102,CHAR KWAY TEOW,85,16.51,115956,1001,212929,222024,1
20180102,CHAR KWAY TEOW,85,16.51,115957,1001,213004,222006,3
20180102,PRAWN MASALA,85,24.05,115957,1001,213004,222006,3
20180102,N NUMB TONGUE,85,19.81,115957,1001,213004,222006,3
20180103,BUFF.BREAKFAST(A),85,27.36,115971,1000,91654,102615,1
20180103,BUFF.BREAKFAST(A),15,10.94,115972,1000,93736,94639,2
20180103,HEALTHY SET A,85,27.83,115977,1001,144227,153057,1
20180103,TV SET 3,85,27.83,115978,1001,144748,153249,1
20180103,MUSHROOM SOUP,85,13.21,115978,1001,144748,153249,1
20180103,TV SET 3,85,27.83,115979,1001,144925,153141,1
20180103,TV SET 3,85,27.83,115980,1001,151733,155027,1
20180103,MUSHROOM SOUP,85,13.21,115981,1001,151809,155045,1
20180103,LOBSTER AGLIO,85,24.05,115981,1001,151809,155045,1
20180103,FRENCH FRIES,67,5.66,115983,1000,153537,153729,1
20180104,BUFF.BREAKFAST(A),15,10.94,115998,1000,71719,72052,2
