DATE,FOOD_ITEM,DISC_ID,DISC_AMT,MANAGER,CHECK_NUM,OUTLET,TIME_IN,TIME_OUT,GUEST
20180501,BUFF.BREAKFAST(A),15,5.47,FARHANA,110947,1000,83025,83655,1
20180501,BUFF.BREAKFAST(A),15,5.47,FARHANA,110949,1000,92146,92437,1
20180501,BUFF.BREAKFAST(A),15,5.47,FARHANA,110950,1000,92158,92530,1
20180501,BUFF.BREAKFAST(A),15,5.47,FARHANA,110951,1000,94233,94253,1
20180501,CAESER SALAD,4,2.83,FARHANA,110952,1000,121117,121401,1
20180501,MONTH CAKE 1KG,68,7.07,THAN (FUKAZA),110965,1000,174842,181656,1
20180501,MONTH CAKE SLC,3,5.66,THAN (FUKAZA),110966,1000,183915,183924,1
20180501,FRENCH BREAD,3,6.6,THAN (FUKAZA),110969,1000,194643,195012,1
20180501,TV SET 1,85,27.83,THAN (FUKAZA),110970,1001,200537,205022,1
20180501,MONTH CAKE SLC,3,5.66,THAN (FUKAZA),110974,1000,214728,214734,1
20180502,MEE MAMAK,85,16.51,FARHANA,110978,1001,81231,83558,1
20180502,AMERICAN,85,25.0,FARHANA,110979,1001,84929,93715,1
20180502,BUFF.BREAKFAST(A),15,5.47,FARHANA,110980,1000,91504,91927,1
20180502,N NUMB TONGUE,85,19.81,FARHANA,110983,1001,140217,144752,1
20180502,BUFF.LUNCH(A),41,69.34,FARHANA,110984,1000,140449,140537,5
20180502,LAKSA JOHOR,85,16.98,THAN (FUKAZA),110985,1001,143341,151050,1
20180502,OPEN FD-CURRY,1,84.91,THAN (FUKAZA),110986,1000,150827,152801,1
20180502,HEALTHY SET B,85,27.83,THAN (FUKAZA),110988,1001,171203,175808,1
20180502,MONTH CAKE SLC,3,11.32,THAN (FUKAZA),110990,1000,180022,180212,1
20180502,NAPOLITANO,41,4.53,THAN (FUKAZA),110992,1000,182153,182419,1
20180502,MONTH CAKE SLC,3,5.66,THAN (FUKAZA),110994,1000,184437,184450,1
20180502,OPEN PTY-CUPCAKE6,3,5.66,THAN (FUKAZA),110994,1000,184437,184450,1
20180502,CHAR KWAY TEOW,85,16.98,THAN (FUKAZA),110995,1001,184910,192302,1
20180502,MEE MAMAK,85,16.98,THAN (FUKAZA),110999,1001,200609,203902,1
20180502,MONTH CAKE 1KG,4,9.43,THAN (FUKAZA),111007,1000,220344,220620,1
20180502,MONTH CAKE 1KG,4,9.43,THAN (FUKAZA),111009,1000,221745,222120,1
20180503,BUFF.BREAKFAST(A),15,5.47,SI,111017,1000,64912,71546,2
20180503,BUFF.BREAKFAST(A),15,5.47,SI,111017,1000,64912,71546,2
20180503,BUFF.BREAKFAST(A),15,5.47,SI,111018,1000,64921,70208,1
20180503,BUFF.BREAKFAST(A),35,21.89,SI,111025,1000,105648,122928,2
20180503,PEPPERMINT TEA,67,8.49,FARHANA,111026,1000,111345,212530,1
20180503,OREO MS,41,2.69,SI,111030,1000,125755,133229,2
20180503,MONTH CAKE SLC,41,1.7,SI,111030,1000,125755,133229,2
20180503,CAFE LATTE,41,3.11,SI,111030,1000,125755,133229,2
20180503,MONTH CAKE SLC,41,1.7,SI,111030,1000,125755,133229,2
20180503,HEALTHY SET B,85,27.83,SI,111033,1001,134855,143659,1
20180503,TV SET 3,85,27.83,FARHANA,111039,1001,180143,182857,1
20180503,PATTY MELT,85,17.45,FARHANA,111040,1001,181040,191850,1
20180503,MONTH CAKE SLC,3,16.98,FARHANA,111041,1000,181905,182141,0
20180503,MONTH CAKE SLC,3,5.66,FARHANA,111042,1000,182438,182451,1
20180503,CAESER SALAD,4,2.83,FARHANA,111048,1000,201303,211153,1
20180503,SATAY,67,17.45,FARHANA,111049,1000,202129,212402,1
20180503,NYONYA CURRY,67,16.04,FARHANA,111049,1000,202129,212402,1
20180503,GARLIC BAGUETE,67,7.07,FARHANA,111054,1000,204910,212939,1
20180503,SEAFOOD RAMEN,67,17.92,FARHANA,111055,1000,213214,213437,1
20180503,FETT.CARBONARA,4,3.58,FARHANA,111060,1000,222354,225541,1
20180504,N NUMB TONGUE,85,19.81,SI,111070,1001,111516,114628,1
20180504,MONTH CAKE SLC,3,16.98,FARHANA,111082,1000,203939,204022,1
20180504,MONTH CAKE SLC,3,16.98,FARHANA,111083,1000,204011,204049,1
20180505,QUESADILLA,85,16.98,MOHAMAD RASHID,111093,1001,50338,50450,1
20180505,BUFF.BREAKFAST(A),15,5.47,MOHAMAD RASHID,111098,1000,63925,64047,1
20180505,BUFF.BREAKFAST(A),15,5.47,AHMAD HUSAINI,111102,1000,71836,72151,1
20180505,CAESER SALAD,4,5.66,AHMAD HUSAINI,111105,1000,74147,74221,1
20180505,BUFF.BREAKFAST(A),15,5.47,AHMAD HUSAINI,111108,1000,95434,95513,1
20180505,BUFF.BREAKFAST(A),15,5.47,FARHANA,111128,1000,175808,175911,1
20180505,NASI LEMAK,85,16.98,FARHANA,111129,1001,182020,191303,1
20180505,HEALTHY SET A,85,27.83,FARHANA,111130,1001,182453,191130,1
20180506,BUFF.BREAKFAST(A),15,5.47,AHMAD HUSAINI,111147,1000,100622,100741,1
20180506,FISH & CHIPS,85,23.58,AHMAD HUSAINI,111148,1001,110243,113541,1
20180506,BUFF.HI-TEA(A),90,18.11,AHMAD HUSAINI,111162,1000,155146,155156,3
20180506,MONTH CAKE SLC,3,11.32,FARHANA,111165,1000,183223,183234,1
20180507,BUFF.BREAKFAST(A),15,5.47,AHMAD HUSAINI,111185,1000,73038,73258,1
20180507,CHAR KWAY TEOW,35,6.42,ZIN,111193,1000,130609,154154,1
20180507,TV SET 4,85,27.83,SI,111200,1001,174527,181212,1
20180507,N NUMB TONGUE,85,19.81,SI,111203,1001,182540,185646,1
20180507,MONTH CAKE 1KG,68,28.3,SI,111211,1000,202929,203649,1
20180507,TUNA PITA,35,5.09,SI,111217,1000,221849,222112,1
20180508,BUFF.BREAKFAST(A),15,5.47,AHMAD HUSAINI,111231,1000,93722,93815,1
20180508,CAPPUCINO,15,4.15,AHMAD HUSAINI,111232,1000,104420,114341,3
20180508,F.BREWED COFFEE,15,1.98,AHMAD HUSAINI,111232,1000,104420,114341,3
20180508,BUFF.BREAKFAST(A),15,10.94,AHMAD HUSAINI,111233,1000,104602,104638,2
20180508,BUFF.BREAKFAST(A),15,10.94,AHMAD HUSAINI,111234,1000,104814,104925,2
20180508,HEALTHY SET B,85,27.83,SI,111239,1001,141903,145759,2
20180508,HEALTHY SET B,85,27.83,SI,111239,1001,141903,145759,2
