DATE,FOOD_ITEM,DISC_ID,DISC_AMT,MANAGER,CHECK_NUM,OUTLET,TIME_IN,TIME_OUT,GUEST
20181001,BUFF.BREAKFAST(A),15,10.94,SITI,117702,1000,93334,93517,2
20181001,BUFF.BREAKFAST(A),15,10.94,SITI,117703,1000,95355,95425,2
20181001,BUFF.BREAKFAST(A),15,5.47,SITI,117704,1000,101108,101646,1
20181001,MONTH CAKE SLC,68,3.4,SITI,117718,1000,142008,142103,1
20181001,HEALTHY SET A,85,27.83,SI,117721,1001,164227,170817,1
20181001,SATAY,85,18.39,SI,117723,1001,181725,190330,1
20181001,EGG,15,0.57,SI,117727,1000,212848,220634,1
20181001,N NUMB TONGUE,15,3.77,SI,117727,1000,212848,220634,1
20181001,MONTH CAKE SLC,3,11.32,SI,117732,1000,225546,225555,1
20181002,DB ESPRESSO,15,4.15,SITI,117741,1000,74847,75020,0
20181002,CAPPUCINO,15,2.07,SITI,117742,1000,75449,75638,0
20181002,N NUMB TONGUE,85,19.81,SI,117752,1001,172722,174335,1
20181002,MONTH CAKE SLC,3,5.66,SI,117759,1000,193240,193249,1
20181002,GINGER ALE,85,6.6,SI,117767,1001,210522,213126,1
20181002,SATAY,85,18.39,SI,117767,1001,210522,213126,1
20181002,MUSHROOM SOUP,85,13.21,SI,117767,1001,210522,213126,1
20181002,BEEF SIRLOIN,35,13.58,SI,117769,1000,212358,234226,2
20181002,SALMON MEDALLIONS,35,10.75,SI,117769,1000,212358,234226,2
20181002,MEE MAMAK,35,6.42,SI,117769,1000,212358,234226,2
20181002,FRESH HONEYDEW,35,3.96,SI,117769,1000,212358,234226,2
20181002,FRESH ORANGE,35,3.96,SI,117769,1000,212358,234226,2
20181002,APPLE PIE,35,3.77,SI,117769,1000,212358,234226,2
20181002,FRESH ORANGE,4,1.98,SI,117772,1000,221622,223312,1
20181002,MONTH CAKE 1KG,38,18.87,SI,117774,1000,223228,223933,1
20181002,MONTH CAKE SLC,3,16.98,SI,117775,1000,223443,223606,3
20181002,FETT.CARBONARA,4,3.58,SI,117780,1000,225356,232900,1
20181002,MONTH CAKE SLC,3,16.98,SI,117781,1000,233313,233436,0
20181003,BUFF.BREAKFAST(A),15,5.47,SITI,117785,1000,63615,70801,1
20181003,CAFE LATTE,15,4.15,SITI,117786,1000,64102,70745,2
20181003,DB ESPRESSO,15,2.07,SITI,117788,1000,74334,74527,1
20181003,BUFF.BREAKFAST(A),15,5.47,SITI,117790,1000,81454,84308,1
20181003,BUFF.BREAKFAST(C),15,2.74,SITI,117791,1000,82202,85507,6
20181003,BUFF.BREAKFAST(A),15,5.47,SITI,117791,1000,82202,85507,6
20181003,BUFF.BREAKFAST(A),15,21.89,SITI,117791,1000,82202,85507,6
20181003,BUFF.BREAKFAST(A),15,5.47,SITI,117792,1000,85930,90015,1
20181003,BUFF.BREAKFAST(A),15,5.47,SITI,117795,1000,93908,94245,1
20181003,BUFF.BREAKFAST(A),15,5.47,SITI,117797,1000,100023,104123,1
20181003,AMERICAN B'FAST,85,25.0,SITI,117798,1000,102044,105756,1
20181003,MUSHROOM SOUP,35,9.81,SITI,117801,1002,103210,125220,1
20181003,OPEN FD-FLUFFY-OMELE,35,6.23,SITI,117801,1002,103210,125220,1
20181003,CHAR KWAY TEOW,85,33.96,SI,117814,1001,181951,184012,1
20181003,TV SET 3,85,27.83,SI,117815,1001,184646,190743,1
