DATE,FOOD_ITEM,DISC_ID,DISC_AMT,MANAGER,CHECK_NUM,OUTLET,TIME_IN,TIME_OUT,GUEST
20180901,CAESER SALAD,4,2.83,ZIN,116551,1000,80749,80802,1
20180901,OPEN PTY-SLC CAKE,85,5.66,ZIN,116555,1000,142916,142957,1
20180901,CAFE LATTE,85,10.37,ZIN,116555,1000,142916,142957,1
20180901,LAKSA JOHOR,85,16.98,FARHANA,116569,1001,181747,195506,1
20180901,NASI LEMAK,85,16.98,FARHANA,116570,1001,184304,190518,1
20180901,TV SET 3,85,27.83,FARHANA,116570,1001,184304,190518,1
20180902,BUFF.BREAKFAST(A),15,10.94,ZIN,116579,1000,81238,81458,2
20180902,BUFF.BREAKFAST(A),15,10.94,ZIN,116580,1000,92657,94611,3
20180902,BUFF.BREAKFAST(C),15,2.74,ZIN,116580,1000,92657,94611,3
20180902,CHAR KWAY TEOW,85,16.04,ZIN,116584,1000,133639,143242,1
20180902,CAMOMILE TEA,85,8.49,ZIN,116584,1000,133639,143242,1
20180902,MONTH CAKE SLC,85,5.66,ZIN,116584,1000,133639,143242,1
20180902,N NUMB TONGUE,85,19.81,FARHANA,116610,1001,200210,202903,1
20180902,CHAR KWAY TEOW,85,16.98,FARHANA,116611,1001,200234,210529,1
20180902,CAESER SALAD,85,14.15,FARHANA,116613,1000,202746,215629,4
20180902,INCHE KABIN,85,17.92,FARHANA,116613,1000,202746,215629,4
20180902,CALAMARI RINGS,85,12.26,FARHANA,116613,1000,202746,215629,4
20180902,SATAY,85,17.45,FARHANA,116613,1000,202746,215629,4
20180903,BUFF.BREAKFAST(A),15,5.47,SITI,116618,1000,81818,81953,1
20180903,SGL ESPRESSO,15,1.98,SITI,116619,1000,82813,82857,0
20180903,BUFF.BREAKFAST(A),15,10.94,SITI,116620,1000,85119,85734,2
20180903,BUFF.BREAKFAST(A),15,10.94,SITI,116621,1000,85127,85752,2
20180903,BUFF.BREAKFAST(A),1,98.49,SITI,116622,1000,91400,91510,6
20180903,OPEN FD-CHIC SATAY,35,56.6,SITI,116624,1000,103427,115135,0
20180903,OPEN FD-ROTI JALA,35,37.74,SITI,116624,1000,103427,115135,0
20180903,CAESER SALAD,15,2.83,SITI,116626,1000,114933,122707,1
20180903,MONTH CAKE SLC,17,1.13,SITI,116628,1000,132250,132333,0
20180903,BBQ CHIC SALAD,85,16.04,FARHANA,116634,1001,165412,181902,1
20180903,MONTH CAKE 1KG,68,14.15,FARHANA,116635,1000,170858,174746,1
