DATE,FOOD_ITEM,DISC_ID,DISC_AMT,MANAGER,CHECK_NUM,OUTLET,TIME_IN,TIME_OUT,GUEST
20190301,BUFF.BREAKFAST(A),15,10.94,JENNYFER JYNE,113302,1000,85544,112453,2
20190301,MONTH CAKE 1KG,17,18.87,JENNYFER JYNE,113303,1000,122326,122519,0
20190301,FRESH APPLE,67,9.9,NOR NABILA,113306,1002,162532,162543,2
20190301,FRESH APPLE,67,9.9,NOR NABILA,113306,1002,162532,162543,2
20190301,POTATO WEDGES,85,9.43,NOR NABILA,113307,1001,173038,175858,1
20190301,NAPOLITANO,85,16.04,NOR NABILA,113307,1001,173038,175858,1
20190301,CAFE LATTE,85,10.37,NOR NABILA,113307,1001,173038,175858,1
20190301,MONTH CAKE 1KG,43,18.87,NOR NABILA,113310,1000,190511,190538,1
20190301,MONTH CAKE 1KG,43,18.87,NOR NABILA,113312,1000,195101,195728,1
20190301,WHOLEMEAL,3,6.6,NOR NABILA,113313,1000,200300,200306,1
20190301,SMORREBROD,15,3.77,NOR NABILA,113318,1000,204613,205118,1
20190301,PATTY MELT,67,16.51,NOR NABILA,113319,1000,212553,212815,1
20190302,BUFF.BREAKFAST(A),15,5.47,SITI,113326,1000,80804,80959,1
20190302,BUFF.BREAKFAST(C),15,2.74,SITI,113329,1000,81951,84154,1
20190302,BUFF.BREAKFAST(A),15,10.94,SITI,113332,1000,94046,94631,1
20190302,TEH TARIK,98,2.83,SITI,113333,1000,105236,120051,4
20190302,OMELETTE,98,4.67,SITI,113333,1000,105236,120051,4
20190302,FRESH CARROT,98,2.97,SITI,113333,1000,105236,120051,4
20190302,NESCAFE TARIK,98,2.83,SITI,113333,1000,105236,120051,4
20190302,NOODLE SOUP,98,4.67,SITI,113333,1000,105236,120051,4
20190302,NOODLE SOUP,98,4.67,SITI,113333,1000,105236,120051,4
20190302,N NUMB TONGUE,98,5.66,SITI,113333,1000,105236,120051,4
20190302,CAPPUCINO,98,3.11,SITI,113333,1000,105236,120051,4
20190302,BUFF.BREAKFAST(A),15,5.47,SITI,113335,1000,131909,131923,2
20190302,BUFF.BREAKFAST(A),15,5.47,SITI,113335,1000,131909,131923,2
20190302,BUFF.HI-TEA(A),42,60.38,SITI,113337,1000,133034,152905,2
20190302,BUFF.HI-TEA(A),11,217.36,SITI,113343,1000,144351,144438,6
20190302,MONTH CAKE SLC,85,16.98,SITI,113344,1000,144841,164358,1
20190302,CAFE LATTE,85,10.38,SITI,113344,1000,144841,164358,1
20190302,F.BREWED COFFEE,85,9.9,SITI,113344,1000,144841,164358,1
20190302,BUFF.HI-TEA(A),10,18.11,SITI,113345,1000,150240,150728,23
20190302,BUFF.HI-TEA(A),42,60.38,SITI,113348,1000,162115,162152,2
20190302,CAFE LATTE,85,10.37,SITI,113349,1000,163457,164058,1
20190302,CAFE LATTE,85,10.37,SITI,113350,1000,163506,164125,1
20190302,CAFE LATTE,85,10.37,SITI,113351,1000,163516,164221,1
20190302,HEALTHY SET A,85,27.83,SITI,113352,1001,165427,172639,1
20190302,TV SET 3,85,27.83,SITI,113353,1001,171333,173517,1
20190302,CALAMARI RINGS,85,13.21,SITI,113361,1001,201547,205000,1
20190302,CHAR KWAY TEOW,85,16.98,SITI,113361,1001,201547,205000,1
20190302,TV SET 3,85,27.83,SITI,113362,1001,202038,204924,1
20190303,BUFF.BREAKFAST(A),15,5.47,SITI,113375,1000,93723,93732,1
20190303,BUFF.BREAKFAST(A),15,5.47,SITI,113376,1000,101537,101817,1
20190303,BUFF.BREAKFAST(C),15,2.74,SITI,113377,1000,102501,102547,1
20190303,BUFF.BREAKFAST(A),15,5.47,SITI,113377,1000,102501,102547,1
20190303,BROWNIES,85,10.85,SITI,113380,1001,114338,121309,1
20190303,POTATO CHIPS,85,9.43,SITI,113380,1001,114338,121309,1
20190303,PANINI VERDURE,85,16.98,SITI,113380,1001,114338,121309,1
20190303,HEALTHY SET D,85,27.83,SITI,113381,1001,122652,125158,1
20190303,BUFF.HI-TEA(A),10,18.11,SITI,113388,1000,142219,142412,15
20190303,BUFF.HI-TEA(A),11,253.58,SITI,113392,1000,143902,143949,7
20190303,BUFF.HI-TEA(A),42,120.75,SITI,113395,1000,145057,145349,6
20190303,MONTH CAKE SLC,3,22.64,JENNYFER JYNE,113404,1000,200503,200534,0
20190304,BUFF.BREAKFAST(A),15,10.94,NOR NABILA,113409,1000,73842,73933,2
20190304,BUFF.BREAKFAST(A),15,10.94,NOR NABILA,113411,1000,80128,81542,2
20190304,BUFF.BREAKFAST(A),15,5.47,NOR NABILA,113413,1000,81229,81454,1
20190304,BUFF.BREAKFAST(A),15,5.47,NOR NABILA,113414,1000,81253,81429,1
20190304,BUFF.BREAKFAST(A),15,5.47,NOR NABILA,113426,1000,140728,140749,1
20190304,OPEN PTY-,3,5.66,JENNYFER JYNE,113436,1000,212344,212428,0
20190305,MONTH CAKE 1KG,4,9.43,SHANIZAM,113441,1000,70711,70723,1
20190305,BUFF.BREAKFAST(A),85,27.36,SHANIZAM,113447,1000,73956,74031,1
20190305,BUFF.BREAKFAST(A),15,5.47,SHANIZAM,113448,1000,82046,83109,1
20190305,CAPPUCINO,15,2.07,SHANIZAM,113450,1000,90842,93500,2
20190305,CAPPUCINO,15,2.07,SHANIZAM,113450,1000,90842,93500,2
20190305,GRILL STEAK,35,18.49,SHANIZAM,113451,1000,93705,103216,1
20190305,BUFF.BREAKFAST(A),85,27.36,SHANIZAM,113452,1000,93806,93825,1
20190305,CAPPUCINO,85,10.37,JENNYFER JYNE,113458,1001,144558,144649,1
20190305,WHOLEMEAL,3,6.6,JENNYFER JYNE,113461,1000,180326,180430,0
20190305,HEALTHY SET A,85,27.83,JENNYFER JYNE,113462,1001,181305,184658,1
20190305,TV SET 4,85,27.83,JENNYFER JYNE,113463,1001,183326,185440,1
20190306,CAESER SALAD,4,5.66,SHANIZAM,113480,1000,72230,72242,2
20190306,BUFF.BREAKFAST(A),15,5.47,SHANIZAM,113481,1000,75328,80902,1
20190306,BUFF.BREAKFAST(A),15,10.94,SHANIZAM,113484,1000,95453,102105,2
20190306,BUFF.BREAKFAST(A),35,21.89,SHANIZAM,113485,1000,100358,100435,3
20190306,NASI LEMAK,85,16.98,SHANIZAM,113486,1001,111318,114044,1
20190306,FRUIT PLATE,85,10.85,SHANIZAM,113486,1001,111318,114044,1
20190306,BUFF.LUNCH(A),17,46.23,SHANIZAM,113489,1000,131332,141656,5
20190306,BUFF.LUNCH(A),67,46.23,JENNYFER JYNE,113494,1000,141149,150502,3
20190306,OPEN PTY-BANANA,3,5.66,JENNYFER JYNE,113498,1000,180021,180044,1
20190306,OPEN PTY-BANANA,3,11.32,JENNYFER JYNE,113498,1000,180021,180044,1
20190307,BUFF.BREAKFAST(A),15,5.47,MUHAMAD AMIN,113514,1000,65521,65828,1
20190307,MONTH CAKE 1KG,4,9.43,SHANIZAM,113516,1000,71216,71229,0
20190307,BUFF.BREAKFAST(A),15,10.94,SHANIZAM,113518,1000,74556,75423,2
20190307,BUFF.BREAKFAST(A),15,5.47,SHANIZAM,113519,1000,80516,80644,1
20190307,BUFF.BREAKFAST(A),35,21.89,SHANIZAM,113521,1000,103459,103536,2
20190307,COKE,85,6.6,SHANIZAM,113522,1001,112502,114444,1
20190307,N NUMB TONGUE,85,19.81,SHANIZAM,113522,1001,112502,114444,1
20190307,MONTH CAKE 1KG,17,9.43,JENNYFER JYNE,113530,1000,150630,150730,0
20190307,TV SET 4,85,27.83,JENNYFER JYNE,113532,1001,174851,182201,1
20190307,MEE MAMAK,85,16.98,JENNYFER JYNE,113534,1001,183609,185622,1
20190307,SODA WATER,85,6.6,JENNYFER JYNE,113534,1001,183609,185622,1
20190307,POTATO CHIPS,85,9.43,JENNYFER JYNE,113540,1001,204430,211028,1
20190307,N NUMB TONGUE,85,19.81,JENNYFER JYNE,113540,1001,204430,211028,1
20190307,NASI LEMAK,85,16.98,JENNYFER JYNE,113541,1001,205847,212008,1
20190307,MONTH CAKE 1KG,45,47.17,JENNYFER JYNE,113542,1000,211443,212819,0
20190308,FRESH WATERMELON,4,1.98,NOR NABILA,113552,1000,71435,71500,1
20190308,BUFF.BREAKFAST(A),15,5.47,NOR NABILA,113554,1000,74118,74726,1
20190308,BUFF.BREAKFAST(A),15,5.47,NOR NABILA,113555,1000,81930,82017,1
20190308,BUFF.BREAKFAST(A),15,5.47,NOR NABILA,113556,1000,83545,84402,1
20190308,BUFF.BREAKFAST(A),15,5.47,NOR NABILA,113557,1000,91008,92422,3
20190308,BUFF.BREAKFAST(C),15,2.74,NOR NABILA,113557,1000,91008,92422,3
20190308,BUFF.BREAKFAST(C),15,2.74,NOR NABILA,113557,1000,91008,92422,3
20190308,BUFF.BREAKFAST(A),15,5.47,NOR NABILA,113558,1000,93209,93307,1
20190308,CAFE LATTE,85,10.37,JENNYFER JYNE,113563,1000,145430,145659,1
20190308,MONTH CAKE SLC,85,5.66,JENNYFER JYNE,113564,1000,145449,145901,1
20190308,CAFE LATTE,85,10.37,JENNYFER JYNE,113564,1000,145449,145901,1
20190308,TV SET 4,85,27.83,JENNYFER JYNE,113565,1001,160939,163920,1
20190308,MULTIGRAIN,3,6.6,JENNYFER JYNE,113574,1000,203438,203505,0
20190308,MONTH CAKE 1KG,4,9.43,JENNYFER JYNE,113576,1000,220840,220915,0
20190309,BUFF.BREAKFAST(A),15,5.47,SITI,113585,1000,80212,80257,1
20190309,BUFF.BREAKFAST(A),15,5.47,SITI,113586,1000,84750,84837,1
20190309,BUFF.BREAKFAST(A),15,5.47,SITI,113587,1000,85228,85530,1
20190309,BUFF.BREAKFAST(A),15,5.47,SITI,113588,1000,85257,85603,1
20190309,BUFF.BREAKFAST(A),15,10.94,SITI,113590,1000,90212,90908,2
20190309,BUFF.BREAKFAST(A),98,16.41,SITI,113591,1000,90550,90626,2
20190309,BUFF.BREAKFAST(C),15,5.47,SITI,113592,1000,91148,91721,2
20190309,BUFF.BREAKFAST(A),15,10.94,SITI,113594,1000,94816,95245,2
20190309,BUFF.HI-TEA(A),85,60.37,SITI,113598,1000,120949,121240,1
20190309,BUFF.HI-TEA(A),42,60.37,SITI,113600,1000,124528,142353,12
20190309,BUFF.HI-TEA(A),42,90.56,SITI,113607,1000,152512,152709,7
20190309,MONTH CAKE SLC,3,5.66,JENNYFER JYNE,113617,1000,185955,190029,0
20190309,MONTH CAKE SLC,3,5.66,JENNYFER JYNE,113618,1000,190141,190202,0
20190309,MONTH CAKE SLC,3,5.66,JENNYFER JYNE,113619,1000,191737,191802,0
20190309,MONTH CAKE SLC,3,5.66,JENNYFER JYNE,113627,1000,214911,214938,0
20190309,FISH & CHIPS,4,4.53,JENNYFER JYNE,113628,1000,221536,223536,1
20190310,N NUMB TONGUE,85,19.81,JENNYFER JYNE,113633,1001,73920,73951,1
20190310,BUFF.BREAKFAST(A),15,5.47,JENNYFER JYNE,113635,1000,83659,93822,1
20190310,BUFF.BREAKFAST(A),67,54.71,JENNYFER JYNE,113636,1000,84851,85116,2
20190310,BUFF.BREAKFAST(A),15,10.94,JENNYFER JYNE,113637,1000,91408,91934,2
20190310,BUFF.BREAKFAST(C),15,2.74,JENNYFER JYNE,113638,1000,92205,93545,4
20190310,BUFF.BREAKFAST(A),15,16.41,JENNYFER JYNE,113638,1000,92205,93545,4
20190310,NASI LEMAK,98,5.66,JENNYFER JYNE,113639,1000,103016,112925,4
20190310,MEE GORENG MAMAK,98,4.67,JENNYFER JYNE,113639,1000,103016,112925,4
20190310,RAISIN FR.TOAST,98,2.97,JENNYFER JYNE,113639,1000,103016,112925,4
20190310,OMELETTE,98,4.67,JENNYFER JYNE,113639,1000,103016,112925,4
20190310,NINIKU CHAHAN,85,7.54,JENNYFER JYNE,113640,1001,115732,123520,1
20190310,TORE TEPPANYAKI,85,19.81,JENNYFER JYNE,113640,1001,115732,123520,1
20190310,BUFF.HI-TEA(A),42,60.38,SITI,113650,1000,144810,144843,2
