DATE,FOOD_ITEM,DISC_ID,DISC_AMT,MANAGER,CHECK_NUM,OUTLET,TIME_IN,TIME_OUT,GUEST
20170101,BUFF.BREAKFAST(A),15,5.47,ZIN,116748,1000,83642,95110,1
20170101,BUFF.BREAKFAST(A),15,5.47,ZIN,116750,1000,84401,93330,1
20170101,BUFF.BREAKFAST(A),15,10.94,ZIN,116753,1000,90431,90548,2
20170101,BUFF.BREAKFAST(A),15,5.47,ZIN,116756,1000,93514,94549,2
20170101,BUFF.BREAKFAST(C),15,2.74,ZIN,116756,1000,93514,94549,2
20170101,BUFF.BREAKFAST(C),15,5.47,ZIN,116757,1000,94608,94910,2
20170101,BUFF.BREAKFAST(A),15,5.47,ZIN,116759,1000,95256,100130,1
20170101,FISH & CHIPS,85,19.81,ZIN,116762,1001,103443,112611,2
20170101,CHICKEN CHOP,85,24.05,ZIN,116762,1001,103443,112611,2
20170101,FISH HOR FUN,85,19.81,ZIN,116762,1001,103443,112611,2
20170101,FRESH APPLE,85,9.9,ZIN,116762,1001,103443,112611,2
20170101,CIOCCOLATO,85,10.85,ZIN,116763,1001,112446,115955,1
20170101,TOM YAM GOONG,85,22.17,ZIN,116763,1001,112446,115955,1
20170101,NY BRUNCH (A),85,39.62,ZIN,116765,1000,124519,125125,1
20170101,CAESAR SALAD,85,12.26,ZIN,116767,1001,125009,134457,1
20170101,BOLOGNAISE,85,19.81,ZIN,116767,1001,125009,134457,1
20170101,NY BRUNCH (A),33,63.4,ZIN,116776,1000,132441,152120,4
20170101,FISH HOR FUN,85,19.81,ZIN,116783,1001,150810,161559,1
20170101,COKE,85,6.6,ZIN,116783,1001,150810,161559,1
20170101,CHAR KWAY TEOW,85,16.51,FARHANA,116790,1001,162005,171435,1
20170101,N NUMB TONGUE,85,19.81,FARHANA,116790,1001,162005,171435,1
20170101,MONTH CAKE 1KG,68,28.3,FARHANA,116805,1000,211749,212713,1
20170101,MONTH CAKE SLC,3,16.98,FARHANA,116806,1000,222716,222750,1
20170102,BUFF.BREAKFAST(C),15,2.74,ZIN,116814,1000,74809,83338,1
20170102,BUFF.BREAKFAST(A),15,5.47,ZIN,116816,1000,90140,90750,1
20170102,BUFF.BREAKFAST(A),15,5.47,ZIN,116817,1000,91704,92353,1
20170102,BUFF.BREAKFAST(A),15,5.47,ZIN,116819,1000,101502,104942,1
20170102,F.BREWED COFFEE,35,3.96,RAMAKUMAR,116824,1002,123556,130402,1
20170102,NYONYA CURRY,35,6.23,RAMAKUMAR,116824,1002,123556,130402,1
20170102,GREEN TEA,4,1.7,ZIN,116832,1000,193749,195404,1
20170102,CAPPUCCINO,4,2.17,ZIN,116834,1000,194413,195332,1
20170102,MEE MAMAK,85,16.51,ZIN,116836,1001,201643,205010,1
20170102,TOM YAM GOONG,4,4.15,ZIN,116837,1000,201928,205427,1
20170102,N NUMB TONGUE,85,19.81,ZIN,116838,1001,204137,210343,1
20170102,MUSHROOM SOUP,85,13.21,ZIN,116838,1001,204137,210343,1
20170103,TENDERLOIN,4,7.55,FARHANA,116858,1000,73736,73747,1
20170103,BUFF.BREAKFAST(A),15,5.47,FARHANA,116859,1000,83002,83209,1
20170103,SALMON STEAK,41,15.85,FARHANA,116868,1000,123732,141058,2
20170103,WATERMELON,85,9.9,FARHANA,116875,1001,140225,144035,1
20170103,SPRITE,85,6.6,FARHANA,116875,1001,140225,144035,1
20170103,SET TEXMEX BGR,85,27.83,SI,116878,1001,155302,164722,1
20170103,SET TEXMEX BGR,85,27.83,SI,116879,1001,160215,164710,1
20170103,SATAY,85,16.51,SI,116879,1001,160215,164710,1
20170103,WHITE LOAF,3,6.6,SI,116891,1000,183841,184023,1
20170103,WHOLEMEAL,3,6.6,SI,116891,1000,183841,184023,1
20170103,NYONYA CURRY,15,3.49,SI,116894,1000,192526,195534,1
20170103,MONTH CAKE SLC,3,16.98,AHMAD SUBHAN,116902,1000,222216,222247,1
20170103,N NUMB TONGUE,85,18.87,AHMAD SUBHAN,116903,1000,223839,224157,0
20170103,HOT MONKEY,85,9.43,AHMAD SUBHAN,116903,1000,223839,224157,0
20170104,OPEN FD-BF-STEAAK,35,9.25,RAMAKUMAR,116912,1002,103411,103432,1
20170104,N NUMB TONGUE,85,18.87,FARHANA,116928,1000,152054,160205,1
20170104,FRESH BREW COFFEE,85,9.9,FARHANA,116928,1000,152054,160205,1
20170104,MONTH CAKE 1KG,68,14.15,FARHANA,116930,1000,172621,172738,0
20170104,CALAMARI,85,12.26,FARHANA,116936,1001,201722,204400,1
20170104,CHICKEN RICE,85,19.81,FARHANA,116936,1001,201722,204400,1
20170104,CIOCCOLATO,85,10.85,FARHANA,116936,1001,201722,204400,1
20170104,CHICKEN CHOP,85,24.05,FARHANA,116939,1001,210610,215822,1
20170105,CONGEE,35,4.34,FARHANA,116952,1000,82624,91238,1
20170105,APPLE JUICE,35,3.96,FARHANA,116952,1000,82624,91238,1
20170105,FRESH BREW COFFEE,35,3.96,FARHANA,116952,1000,82624,91238,1
20170105,2 FRESH EGGS,35,6.23,FARHANA,116952,1000,82624,91238,1
20170105,BUFF.BREAKFAST(A),15,5.47,FARHANA,116953,1000,95650,95918,1
20170105,EVIAN,15,1.32,FARHANA,116954,1000,101634,110020,2
20170105,FRESH BREW COFFEE,15,1.98,FARHANA,116954,1000,101634,110020,2
20170105,TEH TARIK,15,1.79,FARHANA,116954,1000,101634,110020,2
20170105,BUFF.BREAKFAST(A),15,5.47,FARHANA,116954,1000,101634,110020,2
20170105,N NUMB TONGUE,85,19.81,FARHANA,116957,1001,121227,124523,1
20170105,GARLIC BAGUETE,85,7.07,FARHANA,116961,1000,133117,141613,1
20170105,W'MELON JUICE,85,9.9,FARHANA,116961,1000,133117,141613,1
20170105,BBQ CHIC SALAD,85,15.09,FARHANA,116961,1000,133117,141613,1
20170105,W'MELON JUICE,85,9.9,SITI,116971,1000,172112,181138,1
20170105,SALMON TARTAR,85,18.87,SITI,116971,1000,172112,181138,1
20170105,TOMATO SOUP,85,12.26,SITI,116971,1000,172112,181138,1
20170105,FISH & CHIPS,15,4.53,SITI,116978,1000,204203,214452,2
20170105,GARLIC BAGUETE,15,1.41,SITI,116978,1000,204203,214452,2
20170105,TOM YAM GOONG,85,22.17,SITI,116979,1001,204831,212304,1
20170105,FISH HOR FUN,85,19.81,SITI,116979,1001,204831,212304,1
20170106,BUFF.BREAKFAST(A),15,5.47,FARHANA,116997,1000,83724,91544,1
20170106,BUFF.BREAKFAST(A),15,5.47,FARHANA,116998,1000,83800,91804,1
20170106,BUFF.BREAKFAST(A),15,5.47,FARHANA,116998,1000,83800,91804,1
20170106,BUFF.BREAKFAST(A),15,5.47,FARHANA,117001,1000,90501,100138,1
20170106,BUFF.BREAKFAST(A),15,5.47,FARHANA,117001,1000,90501,100138,1
20170106,BUFF.BREAKFAST(A),15,5.47,FARHANA,117003,1000,91619,91921,1
20170106,BUFF.BREAKFAST(A),15,5.47,FARHANA,117004,1000,93451,104954,1
20170106,BUFF.BREAKFAST(A),35,21.89,FARHANA,117005,1000,101703,102337,2
20170106,SET N/TONGUE,85,27.83,FARHANA,117013,1001,140223,144140,1
20170106,BUFF.LUNCH(C),15,4.15,FARHANA,117019,1000,144502,144856,1
20170106,CAFE LATTE,4,2.17,FARHANA,117027,1000,180817,184000,1
20170106,LOBSTER AGLIO,85,24.05,FARHANA,117028,1001,181416,184745,1
20170106,MONTH CAKE 1KG,68,28.3,FARHANA,117030,1000,184710,184803,1
20170106,HOT MONKEY,4,1.89,FARHANA,117040,1000,203603,212004,2
20170106,CIOCCOLATO,4,1.98,FARHANA,117040,1000,203603,212004,2
20170106,TOM YAM GOONG,85,22.17,FARHANA,117043,1001,210158,213736,1
20170106,MONTH CAKE SLC,3,5.66,FARHANA,117044,1000,210213,210235,1
20170106,MONTH CAKE SLC,3,11.32,RAMAKUMAR,117046,1000,215901,215946,1
20170107,BUFF.BREAKFAST(A),15,5.47,AHMAD SUBHAN,117058,1000,70216,71150,1
20170107,BUFF.BREAKFAST(A),15,10.94,ZIN,117064,1000,82415,91821,2
20170107,CAPPUCCINO,15,2.17,ZIN,117065,1000,85127,90302,1
20170107,BUFF.BREAKFAST(A),15,5.47,ZIN,117066,1000,91955,92509,1
20170107,BUFF.BREAKFAST(A),15,10.94,ZIN,117067,1000,92748,101716,2
20170107,BUFF.BREAKFAST(A),15,5.47,ZIN,117069,1000,95232,111858,1
20170107,TOAST&BAKERY,15,1.7,ZIN,117070,1000,95812,100341,1
20170107,BUFF.HI-TEA(A),15,7.36,ZIN,117073,1000,131424,131526,1
20170107,ORANGE JUICE,15,1.98,ZIN,117076,1000,135028,150406,2
20170107,NYONYA CURRY,15,3.49,ZIN,117076,1000,135028,150406,2
20170107,BUFF.HI-TEA(A),33,117.74,ZIN,117077,1000,140946,141202,8
20170107,SATAY,15,3.49,SITI,117088,1000,203922,213425,1
20170107,OPEN FD-NAN,15,0.75,SITI,117088,1000,203922,213425,1
20170107,ORANGE JUICE,15,1.98,SITI,117088,1000,203922,213425,1
20170107,AL TONNO,15,3.58,SITI,117088,1000,203922,213425,1
20170107,LIPTON TEA,15,1.7,SITI,117088,1000,203922,213425,1
20170107,FISH & CHIPS,15,4.53,SITI,117089,1000,205010,212625,1
20170108,BUFF.BREAKFAST(A),15,10.94,ZIN,117104,1000,73806,75450,2
20170108,CALAMARI,35,4.34,ZIN,117105,1000,74029,74217,1
20170108,SATAY,35,6.98,ZIN,117105,1000,74029,74217,1
20170108,BUFF.BREAKFAST(A),15,5.47,ZIN,117106,1000,75952,83739,1
20170108,BUFF.BREAKFAST(A),35,21.89,ZIN,117110,1000,82147,101055,2
20170108,ENGLISH B/FAST,35,3.4,ZIN,117110,1000,82147,101055,2
20170108,BUFF.BREAKFAST(A),35,10.94,ZIN,117110,1000,82147,101055,2
20170108,BUFF.BREAKFAST(A),15,5.47,ZIN,117111,1000,84938,100145,1
20170108,BUFF.BREAKFAST(A),15,5.47,ZIN,117111,1000,84938,100145,1
20170108,BUFF.BREAKFAST(A),15,5.47,ZIN,117112,1000,91247,91316,1
20170108,BUFF.BREAKFAST(C),15,2.74,ZIN,117112,1000,91247,91316,1
20170108,BUFF.BREAKFAST(A),15,5.47,ZIN,117113,1000,93251,94711,1
