DATE,FOOD_ITEM,DISC_ID,DISC_AMT,MANAGER,CHECK_NUM,OUTLET,TIME_IN,TIME_OUT,GUEST
20171101,BUFF.BREAKFAST(A),15,5.47,FARHANA,112844,1000,63304,72753,1
20171101,CAPPUCINO,15,2.08,FARHANA,112846,1000,72155,73017,1
20171101,CAPPUCINO,15,2.07,FARHANA,112847,1000,72439,72829,1
20171101,CAPPUCINO,15,2.07,FARHANA,112848,1000,72448,73408,1
20171101,CAPPUCINO,15,2.07,FARHANA,112849,1000,74711,75441,1
20171101,CAFE LATTE,15,2.07,FARHANA,112850,1000,75149,75519,1
20171101,BUFF.BREAKFAST(A),15,5.47,FARHANA,112859,1000,81421,82609,2
20171101,BUFF.BREAKFAST(A),15,5.47,FARHANA,112859,1000,81421,82609,2
20171101,BUFF.BREAKFAST(A),15,5.47,FARHANA,112860,1000,82412,82732,1
20171101,BUFF.BREAKFAST(A),15,21.89,FARHANA,112861,1000,84235,85139,4
20171101,FISH & CHIPS,35,18.11,FARHANA,112868,1000,122553,135423,2
20171101,SODA WATER,35,2.64,FARHANA,112868,1000,122553,135423,2
20171101,MANGO JUICE,35,3.02,FARHANA,112868,1000,122553,135423,2
20171101,NESCAFE TARIK,35,7.55,FARHANA,112868,1000,122553,135423,2
20171101,PUMPKIN SOUP,90,3.54,FARHANA,112869,1000,123418,134941,11
20171101,FISH & CHIPS,90,6.79,FARHANA,112869,1000,123418,134941,11
20171101,MUSHROOM SALAD,90,3.96,FARHANA,112869,1000,123418,134941,11
20171101,FISH & CHIPS,90,6.79,FARHANA,112869,1000,123418,134941,11
20171101,PUMPKIN SOUP,90,3.54,FARHANA,112869,1000,123418,134941,11
20171101,BEEF SIRLOIN,90,10.19,FARHANA,112869,1000,123418,134941,11
20171101,NAPOLITANO,90,4.53,FARHANA,112869,1000,123418,134941,11
20171101,MUSHROOM SALAD,90,3.96,FARHANA,112869,1000,123418,134941,11
20171101,TENDERLOIN,90,11.32,FARHANA,112869,1000,123418,134941,11
20171101,FETT.CARBONARA,90,5.38,FARHANA,112869,1000,123418,134941,11
20171101,FISH & CHIPS,90,13.59,FARHANA,112869,1000,123418,134941,11
20171101,BUTTER FISH,90,13.87,FARHANA,112869,1000,123418,134941,11
20171101,EASTIN CLUB,90,5.24,FARHANA,112869,1000,123418,134941,11
20171101,PUMPKIN SOUP,90,17.69,FARHANA,112869,1000,123418,134941,11
20171101,MUSHROOM SOUP,90,7.36,FARHANA,112869,1000,123418,134941,11
20171101,MUSHROOM SOUP,90,3.68,FARHANA,112869,1000,123418,134941,11
20171101,SALMON MEDALLIONS,90,8.07,FARHANA,112869,1000,123418,134941,11
20171101,PUMPKIN SOUP,90,3.54,FARHANA,112869,1000,123418,134941,11
20171101,PUMPKIN SOUP,41,3.54,FARHANA,112870,1000,124249,133451,5
20171101,BEEF SIRLOIN,41,10.19,FARHANA,112870,1000,124249,133451,5
20171101,LAKSA JOHOR,41,4.81,FARHANA,112870,1000,124249,133451,5
20171101,APPLE PIE,41,2.83,FARHANA,112870,1000,124249,133451,5
20171101,BROWNIES,41,2.97,FARHANA,112870,1000,124249,133451,5
20171101,N NUMB TONGUE,41,5.66,FARHANA,112870,1000,124249,133451,5
20171101,CHIC ROULADE,41,6.93,FARHANA,112870,1000,124249,133451,5
20171101,GREEN TEA,85,8.49,FARHANA,112873,1000,134745,142543,1
20171101,N NUMB TONGUE,85,18.87,FARHANA,112873,1000,134745,142543,1
20171101,NASI LEMAK,85,19.81,SI,112880,1001,160712,164352,1
20171101,MONTH CAKE SLC,3,11.32,FARHANA,112888,1000,180231,180523,1
20171101,EASTIN SALAD,85,12.26,SI,112889,1001,180954,183739,1
20171101,CARBONARA,85,18.39,SI,112889,1001,180954,183739,1
20171101,AL SALMON E,1,11.32,SI,112890,1000,182656,190717,1
20171101,PUMPKIN SOUP,1,7.07,SI,112890,1000,182656,190717,1
20171101,WHITE LOAF,3,6.6,SI,112892,1000,184132,184157,1
20171101,MONTH CAKE SLC,3,11.32,SI,112893,1000,191410,191434,1
20171101,MONTH CAKE SLC,3,11.32,SI,112898,1000,202558,202604,1
20171101,APPLE JUICE,4,3.96,SI,112901,1000,210629,212109,1
20171101,ORANGE JUICE,4,1.98,SI,112901,1000,210629,212109,1
20171101,LIPTON TEA,35,3.4,SI,112908,1002,235418,235433,3
20171101,CAPPUCINO,35,4.15,SI,112908,1002,235418,235433,3
20171101,GARLIC BAGUETE,35,2.83,SI,112908,1002,235418,235433,3
