DATE,FOOD_ITEM,DISC_ID,DISC_AMT,MANAGER,CHECK_NUM,OUTLET,TIME_IN,TIME_OUT,GUEST
20171001,BUFF.BREAKFAST(A),15,5.47,FARHANA,111148,1000,85425,85819,1
20171001,AMERICAN,85,25.0,FARHANA,111150,1001,93743,102402,1
20171001,BUFF.BREAKFAST(A),15,10.94,FARHANA,111153,1000,101838,102214,2
20171001,N NUMB TONGUE,85,19.81,FARHANA,111159,1001,124418,131107,1
20171001,NYONYA CURRY,15,3.21,FARHANA,111160,1000,130551,134315,1
20171001,BBQ CHIC SALAD,15,2.64,FARHANA,111161,1000,131614,141926,1
20171001,SGL ESPRESSO,15,1.98,FARHANA,111161,1000,131614,141926,1
20171001,BBQ CHIC SALAD,15,2.64,FARHANA,111164,1000,141445,141726,1
20171001,SGL ESPRESSO,15,1.98,FARHANA,111164,1000,141445,141726,1
20171001,N NUMB TONGUE,15,3.77,FARHANA,111165,1000,141456,141649,1
20171001,NASI LEMAK,15,3.21,FARHANA,111166,1000,141527,141803,1
20171001,SGL ESPRESSO,15,1.98,FARHANA,111166,1000,141527,141803,1
20171001,NYONYA CURRY,15,3.21,FARHANA,111167,1000,141542,141820,1
20171001,GREEN TEA,15,1.7,FARHANA,111167,1000,141542,141820,1
20171001,CARBONARA,85,18.39,FARHANA,111169,1001,144413,150544,1
20171001,CHAR KWAY TEOW,85,16.51,FARHANA,111170,1001,150728,152826,1
20171001,CAESAR SALAD,85,12.26,FARHANA,111170,1001,150728,152826,1
20171001,BUFF.HI-TEA(A),97,750.57,FARHANA,111171,1000,151450,152453,71
20171001,BUFF.HI-TEA(C),97,16.56,FARHANA,111171,1000,151450,152453,71
20171001,CHIC CHOP RICE,85,16.04,FARHANA,111174,1000,154216,161853,1
20171001,BUFF.HI-TEA(A),41,22.07,RAMAKUMAR,111175,1000,154443,155059,3
20171001,MUSHROOM SOUP,15,2.45,FARHANA,111176,1000,155414,162625,2
20171001,PATTY MELT,15,3.3,FARHANA,111176,1000,155414,162625,2
20171001,CAPPUCINO,85,10.37,FARHANA,111177,1001,180854,184644,1
20171001,CANTONESE YEE MEE,85,16.51,FARHANA,111177,1001,180854,184644,1
20171001,N NUMB TONGUE,85,19.81,FARHANA,111177,1001,180854,184644,1
20171001,ENGLISH B/F TEA,15,1.7,FARHANA,111181,1000,195629,204241,3
20171001,FISH & CHIPS,15,4.53,FARHANA,111181,1000,195629,204241,3
20171001,FETT.CARBONARA,15,3.58,FARHANA,111181,1000,195629,204241,3
20171001,CHIC TEMPURA,15,3.58,FARHANA,111183,1000,202240,205024,1
20171001,NYONYA CURRY,85,16.51,FARHANA,111184,1001,210011,212302,1
20171001,CALAMARI,85,12.26,FARHANA,111184,1001,210011,212302,1
20171001,BLACK FOREST,67,8.96,FARHANA,111185,1000,211845,211955,1
20171001,TIRAMISU CUP,67,9.43,FARHANA,111185,1000,211845,211955,1
20171002,BUFF.BREAKFAST(A),15,5.47,SI,111198,1000,81127,82419,1
20171002,BUFF.BREAKFAST(A),85,27.36,SI,111199,1000,82235,82342,1
20171002,BUFF.BREAKFAST(A),15,5.47,SI,111201,1000,84828,90907,1
20171002,BUFF.BREAKFAST(A),15,5.47,SI,111202,1000,85313,90854,1
20171002,FRESH ORANGE,35,7.92,SI,111207,1000,115412,125033,2
20171002,NAPOLITANO,35,6.04,SI,111207,1000,115412,125033,2
20171002,MEE MAMAK,35,6.42,SI,111207,1000,115412,125033,2
20171002,SHEPHERD'S PIE,85,17.45,SI,111209,1001,123903,132436,1
20171002,CHIC CHOP RICE,35,6.42,SI,111210,1000,124049,133930,3
20171002,CURRY GROUPER,35,11.32,SI,111210,1000,124049,133930,3
20171002,QUESADILLA,35,6.42,SI,111210,1000,124049,133930,3
20171002,MONTH CAKE SLC,33,4.53,SI,111213,1000,132246,132348,1
20171002,OPEN FD-CURRYVEGE,39,37.74,SI,111216,1000,142755,161342,25
20171002,OPEN FD-VEGEF.RICE,39,37.74,SI,111216,1000,142755,161342,25
20171002,OPEN FD-AYAMRENDANG,39,56.6,SI,111216,1000,142755,161342,25
20171002,OPEN FD-VEGE,39,33.96,SI,111216,1000,142755,161342,25
20171002,OPEN FD-FISHFILLET,39,60.38,SI,111216,1000,142755,161342,25
20171002,OPEN FD-BUTTERPRAWN,39,79.25,SI,111216,1000,142755,161342,25
20171002,OPEN FD-CHICSATE,39,56.6,SI,111216,1000,142755,161342,25
20171002,OPEN FD-PM BREAK,39,56.6,SI,111216,1000,142755,161342,25
20171002,OPEN FD-AM BREAK,39,56.6,SI,111216,1000,142755,161342,25
20171002,SATAY,85,16.51,YAD (FUKAZA),111219,1001,161524,164251,1
20171002,CHAR KWAY TEOW,85,16.51,YAD (FUKAZA),111219,1001,161524,164251,1
20171002,SEAFOOD RAMEN,15,3.58,YAD (FUKAZA),111224,1000,191938,201051,1
20171002,LIME JUICE,15,1.51,YAD (FUKAZA),111229,1000,200109,203801,1
20171002,SALMON MEDALLIONS,15,5.38,YAD (FUKAZA),111229,1000,200109,203801,1
20171002,PUMPKIN SOUP,15,2.36,YAD (FUKAZA),111229,1000,200109,203801,1
20171002,FETT.CARBONARA,15,3.58,YAD (FUKAZA),111234,1000,205107,213952,2
20171002,EASTIN CLUB,15,3.49,YAD (FUKAZA),111234,1000,205107,213952,2
20171002,POTATO WEDGES,15,1.7,YAD (FUKAZA),111237,1000,211852,221105,1
20171002,TUNA PITA,15,2.55,YAD (FUKAZA),111237,1000,211852,221105,1
20171002,SHIRLEY TEMPLE,15,2.45,YAD (FUKAZA),111237,1000,211852,221105,1
20171002,COKE,15,1.32,YAD (FUKAZA),111237,1000,211852,221105,1
20171002,MONTH CAKE SLC,3,5.66,YAD (FUKAZA),111240,1000,213654,222045,1
20171003,BUFF.BREAKFAST(A),15,5.47,SI,111253,1000,75313,80437,1
20171003,BUFF.BREAKFAST(A),15,5.47,SI,111254,1000,75400,75541,1
20171003,BUFF.BREAKFAST(A),15,10.94,SI,111256,1000,90205,90531,2
20171003,BUFF.BREAKFAST(A),15,5.47,SI,111257,1000,90327,91054,1
20171003,ICE PEACH TEA,15,1.79,SI,111259,1000,124635,132147,1
20171003,CHAR KWAY TEOW,15,3.21,SI,111259,1000,124635,132147,1
20171003,SATAY,15,3.49,SI,111259,1000,124635,132147,1
20171003,CHICKEN RICE,85,19.81,SI,111265,1001,142932,151423,1
20171003,N NUMB TONGUE,1,11.32,FARHANA,111269,1000,164025,175218,1
20171003,FRENCH BREAD,3,6.6,FARHANA,111272,1000,174656,174801,1
20171003,SET N/TONGUE,85,27.83,FARHANA,111274,1001,182522,190813,1
20171003,MONTH CAKE SLC,3,5.66,FARHANA,111276,1000,184733,184742,1
20171003,CHIC CHOP RICE,15,3.21,FARHANA,111282,1000,193459,204013,2
20171003,NASI LEMAK,15,3.21,FARHANA,111282,1000,193459,204013,2
20171003,CAESER SALAD,15,2.83,FARHANA,111282,1000,193459,204013,2
20171003,MONTH CAKE SLC,3,11.32,FARHANA,111289,1000,204458,204948,1
20171003,OPEN PTY-BUTTER CAKE,3,3.3,RAMAKUMAR,111289,1000,204458,204948,1
20171003,OPEN PTY-BUTTER CAKE,3,3.3,RAMAKUMAR,111289,1000,204458,204948,1
20171003,OPEN PTY-BUTTER CAKE,3,3.3,RAMAKUMAR,111289,1000,204458,204948,1
20171003,COKE,15,1.32,FARHANA,111291,1000,211201,214050,1
20171003,SET HOR FUN,85,27.83,FARHANA,111292,1001,211553,214916,1
20171003,SATAY,85,16.51,FARHANA,111292,1001,211553,214916,1
20171003,COKE,15,1.32,FARHANA,111295,1000,212920,214157,1
20171004,FISH & CHIPS,4,4.53,SI,111304,1000,72433,72531,1
20171004,BUFF.BREAKFAST(A),15,10.94,SI,111309,1000,75857,80033,2
20171004,BUFF.BREAKFAST(A),15,5.47,SI,111310,1000,81204,82539,1
20171004,2 FRESH EGGS,17,3.11,SI,111317,1000,93723,112810,2
20171004,2 FRESH EGGS,17,3.11,SI,111317,1000,93723,112810,2
