DATE,FOOD_ITEM,DISC_ID,DISC_AMT,MANAGER,CHECK_NUM,OUTLET,TIME_IN,TIME_OUT,GUEST
20190602,VEGETABLES(S),85,4.81,CHEE,310198,1003,202210,213216,1
20190602,F RICE&EGG(S),85,5.77,CHEE,310198,1003,202210,213216,1
20190602,TIDBIT,85,1.92,CHEE,310198,1003,202210,213216,1
20190602,JASMINE/TI KUAN YIN,85,2.83,CHEE,310198,1003,202210,213216,1
20190602,SHARKBONE SOUP,85,15.09,CHEE,329417,1003,212921,213303,1
20190602,PEKING DUCK,85,21.48,CHEE,329417,1003,212921,213303,1
20190602,VEGETABLES(S),85,4.67,CHEE,329417,1003,212921,213303,1
20190602,F RICE&EGG(S),85,5.6,CHEE,329417,1003,212921,213303,1
20190602,TIDBIT,85,1.87,CHEE,329417,1003,212921,213303,1
20190602,JASMINE/TI KUAN YIN,85,2.83,CHEE,329417,1003,212921,213303,1
20190602,SHARKBONE SOUP,85,15.09,CHEE,329418,1003,212921,213235,1
20190602,PEKING DUCK,85,21.48,CHEE,329418,1003,212921,213235,1
20190602,VEGETABLES(S),85,4.67,CHEE,329418,1003,212921,213235,1
20190602,F RICE&EGG(S),85,5.6,CHEE,329418,1003,212921,213235,1
20190602,TIDBIT,85,1.87,CHEE,329418,1003,212921,213235,1
20190602,JASMINE/TI KUAN YIN,85,2.83,CHEE,329418,1003,212921,213235,1
20190602,SOUR DOUGH,3,6.6,SITI,117260,1000,213638,213705,0
20190602,SHU BUFFET(A),98,36.23,NOOR ASHIKIN,410144,1004,214555,214624,2
20190602,SHU BUFFET(A),46,24.15,NOOR ASHIKIN,410145,1004,214810,214950,5
20190602,IMPORT VEGES(S),85,15.56,SI,310200,1003,210019,221358,1
20190602,TIDBIT,85,5.66,SI,310200,1003,210019,221358,1
20190602,MONTH CAKE SLC,3,11.32,SITI,117264,1000,220107,220120,0
20190602,IMPORT VEGES(S),85,15.56,SI,310201,1003,211605,221323,1
20190602,CHIC KYOTO SAU(S),85,16.51,SI,310201,1003,211605,221323,1
20190602,TIDBIT,85,5.66,SI,310201,1003,211605,221323,1
20190602,TIDBIT,85,5.66,SI,310199,1003,202806,220842,2
20190602,SEAFOOD NOODLE(S),85,16.51,SI,310199,1003,202806,220842,2
20190602,IMPORT VEGES(S),85,15.56,SI,310199,1003,202806,220842,2
20190602,BUTTER PRAWN(S),85,27.36,SI,310199,1003,202806,220842,2
20190603,IMPORT VEGES(S),85,15.56,SI,310206,1003,122514,130708,1
20190603,F RICE&EGG(S),85,16.98,SI,310206,1003,122514,130708,1
20190603,TIDBIT,85,5.66,SI,310206,1003,122514,130708,1
20190603,JASMINE/TI KUAN YIN,85,2.83,SI,310206,1003,122514,130708,1
20190603,SOFT CRAB,35,5.28,CHEE,310205,1003,122033,131119,3
20190603,STEAM VEMICELI,35,9.43,CHEE,310205,1003,122033,131119,3
20190603,PUMPKIN CONGEE,35,2.26,CHEE,310205,1003,122033,131119,3
20190603,YAM DUMPLING,35,2.45,CHEE,310205,1003,122033,131119,3
20190603,XIAO LONG BAO,35,2.64,CHEE,310205,1003,122033,131119,3
20190603,CCF VEGETARIAN,35,2.26,CHEE,310205,1003,122033,131119,3
20190603,MINI BURGER,35,2.83,CHEE,310205,1003,122033,131119,3
20190603,CENTURY EGG,35,2.45,CHEE,310205,1003,122033,131119,3
20190603,GOLDEN CUP,35,2.45,CHEE,310205,1003,122033,131119,3
20190603,GYU A/BOZU T,35,13.96,NOR NABILA,423196,1004,122800,132626,2
20190603,GINDARA S/T T,35,16.41,NOR NABILA,423196,1004,122800,132626,2
20190603,PRAWN DUMPLING,85,7.54,SI,310215,1003,133333,133407,1
20190603,F RICE&PRAWN(S),85,16.98,SI,310215,1003,133333,133407,1
20190603,GLUTINOUS RICE,35,2.64,SI,310207,1003,122928,133627,4
20190603,SIEW MAI,35,3.02,SI,310207,1003,122928,133627,4
20190603,PRAWN DUMPLING,35,3.02,SI,310207,1003,122928,133627,4
20190603,BEANCURD ROLL,35,2.83,SI,310207,1003,122928,133627,4
20190603,FR RADISH CAKE,35,2.45,SI,310207,1003,122928,133627,4
20190603,BBQ CHIC PUFF,35,2.45,SI,310207,1003,122928,133627,4
20190603,EE FU NOODLE(S),35,6.79,SI,310207,1003,122928,133627,4
20190603,VEGETABLES(S),35,5.66,SI,310207,1003,122928,133627,4
20190603,CCF PRAWN,35,2.45,SI,310207,1003,122928,133627,4
20190603,BBQ CHIC PUFF,35,7.36,CHEE,329419,1003,123343,141931,2
20190603,BBQ CHIC BUN,35,2.45,CHEE,329419,1003,123343,141931,2
20190603,VEGETABLE BUN,35,2.45,CHEE,329419,1003,123343,141931,2
20190603,IMPORT VEGES(S),35,6.23,CHEE,329419,1003,123343,141931,2
20190603,BAKED CODFISH,35,19.81,CHEE,329419,1003,123343,141931,2
20190603,OPEN FD-CHICKEN,35,7.17,CHEE,329419,1003,123343,141931,2
20190603,DB FISH SOUP,35,9.81,CHEE,329419,1003,123343,141931,2
20190603,CCF PRAWN,85,6.13,SI,310203,1003,121232,135105,3
20190603,SIEW MAI,85,7.54,SI,310203,1003,121232,135105,3
20190603,PRAWN DUMPLING,85,7.54,SI,310203,1003,121232,135105,3
20190603,XIAO LONG BAO,85,6.6,SI,310203,1003,121232,135105,3
20190603,YAM DUMPLING,85,6.13,SI,310203,1003,121232,135105,3
20190603,CHIVES DUMPLING,85,7.54,SI,310203,1003,121232,135105,3
20190603,PEKING DUCK,85,65.09,SI,310203,1003,121232,135105,3
20190603,TIDBIT,85,5.66,SI,310203,1003,121232,135105,3
20190603,JASMINE/TI KUAN YIN,85,8.49,SI,310203,1003,121232,135105,3
20190603,SAGO CREAM,85,11.32,SI,310203,1003,121232,135105,3
20190603,CHILL PUDDING,85,5.66,SI,310203,1003,121232,135105,3
20190603,PRAWN DUMPLING,17,1.51,MIKI,310212,1003,125654,135306,2
20190603,KOAY TEO(S),17,3.3,MIKI,310212,1003,125654,135306,2
20190603,FOUR VARIETY,17,1.51,MIKI,310212,1003,125654,135306,2
20190603,GLUTINOUS RICE,17,1.32,MIKI,310212,1003,125654,135306,2
20190603,EBI TEN MAKI,98,3.68,NOR NABILA,423197,1004,130434,135648,2
20190603,SHAKE A/DOMAKI,98,4.24,NOR NABILA,423197,1004,130434,135648,2
20190603,SHAKE CHAZUKE,98,2.97,NOR NABILA,423197,1004,130434,135648,2
20190603,2 PCS ONIGIRI,98,1.98,NOR NABILA,423197,1004,130434,135648,2
20190603,2 PCS ONIGIRI,98,1.98,NOR NABILA,423197,1004,130434,135648,2
20190603,CCF D-SHRIMP,35,2.26,SI,310208,1003,123343,140004,3
20190603,BEANCURD SKIN,35,2.45,SI,310208,1003,123343,140004,3
20190603,SIEW MAI,35,3.02,SI,310208,1003,123343,140004,3
20190603,FR RADISH CAKE,35,2.45,SI,310208,1003,123343,140004,3
20190603,BBQ CHIC BUN,35,2.45,SI,310208,1003,123343,140004,3
20190603,PRAWN DUMPLING,35,3.02,SI,310208,1003,123343,140004,3
20190603,VEGETABLES(S),35,5.66,SI,310208,1003,123343,140004,3
20190603,JASMINE/TI KUAN YIN,85,2.83,SI,310214,1003,132259,141320,1
20190603,PRAWN DUMPLING,85,7.54,SI,310214,1003,132259,141320,1
20190603,XIAO LONG BAO,85,6.6,SI,310214,1003,132259,141320,1
20190603,PRAWN ROLLS,85,7.07,SI,310214,1003,132259,141320,1
20190603,CUSTARD BUN,85,5.66,SI,310214,1003,132259,141320,1
20190603,F RICE&PRAWN(S),85,16.98,SI,310214,1003,132259,141320,1
20190603,UNAGI/SASHIMI,17,6.6,NOR NABILA,423201,1004,133229,142152,6
20190603,TORI TERI T,17,10.19,NOR NABILA,423201,1004,133229,142152,6
20190603,SHAKE SASHIMI,17,7.07,NOR NABILA,423201,1004,133229,142152,6
20190603,CALI TEMAKI,17,3.02,NOR NABILA,423201,1004,133229,142152,6
20190603,CALI TEMAKI,17,1.51,NOR NABILA,423201,1004,133229,142152,6
20190603,SUKIYAKI MAKIT,17,7.55,NOR NABILA,423201,1004,133229,142152,6
20190603,GINDARA S/T T,17,7.36,NOR NABILA,423201,1004,133229,142152,6
20190603,CCF D-SHRIMP,35,2.26,SI,310210,1003,125131,142808,3
20190603,SIEW MAI,35,3.02,SI,310210,1003,125131,142808,3
20190603,PRAWN DUMPLING,35,3.02,SI,310210,1003,125131,142808,3
20190603,BBQ CHIC BUN,35,2.45,SI,310210,1003,125131,142808,3
20190603,YAM DUMPLING,35,2.45,SI,310210,1003,125131,142808,3
20190603,FR RADISH CAKE,35,2.45,SI,310210,1003,125131,142808,3
20190603,ALMOND LOTUS(S),35,6.6,SI,310210,1003,125131,142808,3
20190603,ROAST DUCK(H),35,10.94,SI,310210,1003,125131,142808,3
20190603,SCALLOP ROLLS,35,3.02,SI,310210,1003,125131,142808,3
20190603,BEANCURD SKIN,35,2.45,SI,310209,1003,125044,142654,2
20190603,SIEW MAI,35,3.02,SI,310209,1003,125044,142654,2
20190603,D-SCALOP CONGE,35,3.4,SI,310209,1003,125044,142654,2
20190603,PRAWN DUMPLING,35,3.02,SI,310209,1003,125044,142654,2
20190603,GYU MOROMI T,45,55.66,NOR NABILA,423202,1004,133841,143121,4
20190603,SHAKE HOTATE T,45,61.32,NOR NABILA,423202,1004,133841,143121,4
20190603,EDAMAME,45,6.6,NOR NABILA,423202,1004,133841,143121,4
20190603,EBI TEN MAKI,45,12.26,NOR NABILA,423202,1004,133841,143121,4
20190603,JASMINE/TI KUAN YIN,1,6.79,SI,310217,1003,141240,150338,5
20190603,TIDBIT,1,3.4,SI,310217,1003,141240,150338,5
20190603,CHINESE SET MENU,1,169.81,SI,310217,1003,141240,150338,5
20190603,CAFE LATTE,35,4.15,ELAVARASI,512087,1002,143858,150602,1
20190603,CAPPUCINO,45,10.37,ELAVARASI,512088,1002,153656,163610,3
20190603,F.BREWED COFFEE,45,9.9,ELAVARASI,512088,1002,153656,163610,3
20190603,HOT CHOCOLATE,45,18.87,ELAVARASI,512088,1002,153656,163610,3
20190603,MULTIGRAIN,3,6.6,ELAVARASI,117281,1000,180600,180623,0
