
                         Item Discount Listing(1->24->2)
                                   (08/20/19)


  Disc No.  Type      Description          %/Amt     Range       Seq
  --------  --------  -------------------  --------  ---------   -----
  0000      1         (X)                      20.00     0131      68
  0001      1         CORPORATE OFFICE         30.00     0141      01
  0002      1         (X)                      10.00     0131      75
  0003      1         PASTRY 50%               50.00     0141      03
  0004      1         TENANT-VIVO              10.00     0141      04
  0005      1         SENIOR CITIZEN           20.00     0141      05
  0006      1         (X)                      10.00     0131      96
  0007      1         (X)                      10.00     0131      97
  0008      1         (X)                      10.00     0131      98
  0009      1         (X)                      50.00     0131      99
  0010      1         1 PERSON 15%             15.00     0131      41
  0011      1         5 PERSON & ABOVE 30%     30.00     0131      43
  0012      1         (X)                      20.00     0131      66
  0013      1         (X)                      10.00     0131      67
  0014      1         (X)                      10.00     0131      83
  0015      1         ROOM DINING 10%          10.00     0141      32
  0016      1         (X)                      50.00     0131      85
  0017      1         STAR 10%                 10.00     0141      06
  0018      1         SIEMENS 10%              10.00     0141      07
  0019      1         BULK CEMENT 20%          20.00     0141      08
  0020      1         HUAWEI TECHNOLOGIES      15.00     0141      09
  0021      1         ROTARY CLUB              20.00     0141      10
  0022      1         HAPPY HOUR               50.00     0141      11
  0023      1         REGULAR 10%              10.00     0141      12
  0024      1         DIM SUM 30%              30.00     0131      90
  0025      1         (X)                      30.00     0131      71
  0026      1         (X)                      50.00     0131      72
  0027      1         (X)                      20.00     0131      73
  0028      1         (X)                      20.00     0131      74
  0029      1         COUPONHOLIC 20%          20.00     0141      36
  0030      1         MAYBANK 20%              20.00     0141      13
  0031      1         MICO 30% DISC            30.00     0141      14
  0032      1         DATIN VIP 15%            15.00     0141      15
  0033      1         BUDDIES 20%              20.00     0141      16
  0034      1         (X)                      10.00     0131      76
  0035      1         PRIVILEGE 20%            20.00     0141      02
  0036      1         (X)                      20.00     0131      92
  0037      1         MOONCAKE 10%             10.00     0141      37
  0038      1         MOONCAKE 20%             20.00     0141      38
  0039      1         EASTIN VOUCHER 20%       20.00     0131      39
  0040      1         EXPEDIA VIP 20%          20.00     0131      40
  0041      1         MAYBANK 15%              15.00     0141      17
  0042      1         2-3 PERSON 25%           25.00     0131      42
  0043      1         WHOLE CAKE 20%           20.00     0141      18
  0044      1         SPECIAL DISC 40%         40.00     0182      44

Page :  2                       MONASH HOTEL        08:35  Tuesday  08/20/19

                         Item Discount Listing(1->24->2)

  Disc No.  Type      Description          %/Amt     Range       Seq
  --------  --------  -------------------  --------  ---------   -----
  0045      1         ENT 50%                  50.00     0182      45
  0046      1         AMBANK 20%               20.00     0182      46
  0047      1         SAKE 25%                 25.00     0182      47
  0048      1         (X)                      30.00     0182      00
  0049      1         (X)                      35.00     0182      61
  0050      1         (X)                      40.00     0182      59
  0051      2         ECV RM10                 10.00     0101      57
  0052      1         AMBANK 50 EE             50.00     0182      48
  0053      1         (X)                      50.00     0131      62
  0054      1         (X)                      50.00     0131      54
  0055      1         HSBC                     15.00     0141      55
  0056      1         STAND CHART              15.00     0141      56
  0057      1         EATIGO 20%               20.00     0101      50
  0058      1         EATIGO 25%               25.00     0101      51
  0059      1         EATIGO 10%               10.00     0101      49
  0060      1         EATIGO 50%               50.00     0101      53
  0062      1         EATIGO 30%               30.00     0101      52
  0063      1         (X)                      30.00     0131      63
  0064      1         (X)                      40.00     0131      64
  0065      1         MAXIS 20%                20.00     0141      65
  0066      1         EHPG 50%                 50.00     0141      19
  0067      1         EL F&B 50%               50.00     0141      20
  0068      1         EL PASTRY 30%            30.00     0141      27
  0069      1         (X)                      15.00     0141      69
  0070      1         MAYBANK 20%              20.00     0141      70
  0071      1         HAVANA 10%               10.00     0141      21
  0072      1         HAVANA 15%               15.00     0141      22
  0073      1         HAVANA 20%               20.00     0141      23
  0074      1         HAVANA 25%               25.00     0141      24
  0075      1         HAVANA 30%               30.00     0141      25
  0076      1         HAVANA 50%               50.00     0141      26
  0077      1         S.CITIZEN 50%            50.00     0141      28
  0078      1         PUBLICBANK 15%           15.00     0141      78
  0079      1         SAMSUNG 50%              50.00     0141      79
  0080      1         AMBANK/MBF 20%           20.00     0141      80
  0081      1         TOS REWARD 15%           15.00     0141      81
  0082      1         SAKE 25%                 25.00     0141      82
  0083      1         DISCOVER ASIA 15%        15.00     0141      29
  0084      1         EHPG 50%                 50.00     0141      84
  0085      1         JAL CREW 50%             50.00     0141      30
  0086      1         GROUPON 20%              20.00     0141      86
  0087      1         GROUPON 25%              25.00     0141      87
  0088      1         GROUPON 30%              30.00     0141      88
  0089      1         MOONCAKE 30%             30.00     0141      89
  0090      1         CITIBANK 15%             15.00     0141      31
  0091      1         AMBANK 20%               20.00     0141      91
  0092      1         PUBLICBANK 50%           50.00     0141      33

Page :  3                       MONASH HOTEL        08:35  Tuesday  08/20/19

                         Item Discount Listing(1->24->2)

  Disc No.  Type      Description          %/Amt     Range       Seq
  --------  --------  -------------------  --------  ---------   -----
  0093      1         PARKSON 15%              15.00     0141      93
  0094      1         BANK ISLAM 20%           20.00     0141      94
  0095      1         PB DIM SUM 20%           20.00     0141      95
  0096      1         PANORA 15%               15.00     0131      34
  0097      1         UOB 15% DISC             15.00     0131      35
  0098      1         CIMB 15% DISC            15.00     0131      77




                              ** End Of Report **

